"type of reason","canada","canada","newfoundland and labrador","prince edward island","nova scotia","new brunswick","quebec","ontario","manitoba","saskatchewan","alberta","british columbia","yukon","northwest territories","nunavut"
"type of reason","frequency reason cited","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents","percent of women residents"
"abuse:","","","","","","","","","","","","","","",""
"emotional abuse","2,933","66","77","67","56","80","68","65","67","60","67","65","85","89","89"
"physical abuse","2,193","50","45","27","48","47","47","46","65","53","59","51","62","59","53"
"financial abuse","1,671","38","32","27","36","42","36","37","42","20","44","43","23","41","42"
"threats","1,593","36","40","33","40","51","35","33","37","34","33","43","31","44","68"
"harassment","1,183","27","38","40","31","33","28","24","26","21","27","30","31","19","63"
"sexual abuse","925","21","15","27","17","22","23","18","28","21","26","22","x","19","21"
"human trafficking","67","2","x","x","x","5","2","1","x","4","2","2","x","x","x"
"other abuse","523","12","x","x","x","x","19","13","x","3","18","4","x","19","x"
"protecting children from:","","","","","","","","","","","","","","",""
"witnessing abuse of mother","1,158","26","18","27","30","20","23","25","31","25","36","27","x","52","x"
"psychological abuse","784","18","17","x","21","18","17","16","20","19","23","18","x","x","x"
"physical abuse","428","10","11","x","10","10","11","8","19","11","11","12","x","x","x"
"threats","348","8","5","x","6","8","9","7","7","5","6","10","x","x","x"
"neglect","267","6","6","x","x","10","4","5","7","3","14","8","x","x","x"
"sexual abuse","72","2","x","x","x","4","1","1","x","2","2","2","x","x","x"
"housing:","","","","","","","","","","","","","","",""
"unable to find affordable housing","1,311","30","25","67","23","21","23","31","19","25","35","35","x","37","47"
"short-term housing problem","767","17","15","x","11","5","10","25","9","16","15","16","x","19","x"
"housing emergency","428","10","11","x","14","x","6","12","4","10","9","9","x","15","37"
"mental health","1,087","25","43","x","27","39","30","23","19","18","27","21","x","15","16"
"drug/alcohol addiction","862","19","20","20","20","28","14","16","32","26","29","25","31","x","42"
"other","482","11","x","x","4","12","7","12","3","7","10","18","x","x","x"
"unknown","53","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"total reasons for admission","19,135","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
