"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"brackley town","2004-05","sfl division one west","26","4","0","0","-","-","0","0","26","4"
"brackley town","2005-06","sfl division one west","8","2","0","0","-","-","0","0","8","2"
"brackley town","total","total","34","6","0","0","0","0","0","0","34","6"
"farnborough","2009-10","sfl premier division","41","8","6","1","-","-","6","0","53","9"
"farnborough","2010-11","conference south","41","11","4","1","-","-","8","0","53","12"
"farnborough","total","total","82","19","10","2","0","0","14","0","106","21"
"woking","2011-12","conference south","37","8","2","3","-","-","5","1","44","12"
"preston north end","2012-13","league one","36","4","3","0","2","2","4","1","45","7"
"preston north end","2013-14","league one","24","2","2","0","1","0","2","0","29","2"
"preston north end","2014-15","league one","18","1","3","0","1","0","6","0","28","1"
"preston north end","total","total","78","7","8","0","4","2","12","1","102","10"
"scunthorpe united","2015-16","league one","36","1","4","1","1","0","1","0","42","2"
"stevenage","2016-17","league two","36","3","1","0","0","0","2","0","39","3"
"stevenage","2017-18","league two","32","0","4","0","0","0","1","0","37","0"
"stevenage","total","total","68","3","5","0","0","0","3","0","76","3"
"ebbsfleet united","2018-19","national league","35","2","2","0","0","0","0","0","37","2"
"career total","career total","career total","370","46","31","6","5","2","35","2","441","56"
