"no","pos","nat","player","total","total","third division","third division","scottish cup","scottish cup","league cup","league cup","challenge cup","challenge cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","scotland","scott bain","34","0","30","0","2","0","1","0","1","0"
"none","gk","scotland","craig mcdowall","8","0","8","0","0","0","0","0","0","0"
"none","df","scotland","mark docherty","31","4","29","4","0","0","1","0","1","0"
"none","df","scotland","michael doyle","40","2","36","2","2","0","1","0","1","0"
"none","df","scotland","fraser forrest","7","0","5","0","2","0","0","0","0","0"
"none","df","scotland","ben gordon","37","5","33","5","2","0","1","0","1","0"
"none","df","scotland","ryan harding","38","1","35","1","1","0","1","0","1","0"
"none","df","scotland","mark mccullagh","15","0","13","0","2","0","0","0","0","0"
"none","df","scotland","ross mckinnon","16","1","16","1","0","0","0","0","0","0"
"none","df","scotland","ross philp","0","0","0","0","0","0","0","0","0","0"
"none","df","scotland","allan ramsey","0","0","0","0","0","0","0","0","0","0"
"none","df","scotland","stirling smith","3","0","3","0","0","0","0","0","0","0"
"none","df","scotland","kevin mchattie","5","0","5","0","0","0","0","0","0","0"
"none","mf","scotland","paul hartley","0","0","0","0","0","0","0","0","0","0"
"none","mf","scotland","graeme holmes","38","3","34","3","2","0","1","0","1","0"
"none","mf","scotland","peter innes","8","0","7","0","0","0","1","0","0","0"
"none","mf","scotland","nicholas locke","1","0","1","0","0","0","0","0","0","0"
"none","mf","scotland","ross mccord","31","2","28","1","1","0","1","0","1","1"
"none","mf","scotland","ryan mccord","36","11","32","11","2","0","1","0","1","0"
"none","mf","scotland","darren young","34","2","32","2","1","0","0","0","1","0"
"none","mf","scotland","steven masterton","16","2","14","1","2","1","0","0","0","0"
"none","fw","scotland","ryan caddis","4","0","2","0","0","0","1","0","1","0"
"none","fw","scotland","craig campbell","18","3","15","3","1","0","1","0","1","0"
"none","fw","scotland","kevin cawley","39","10","35","9","2","1","1","0","1","0"
"none","fw","scotland","steven howarth","2","0","2","0","0","0","0","0","0","0"
"none","fw","scotland","kenny o'brien","2","0","2","0","0","0","0","0","0","0"
"none","fw","france","armand one","18","1","14","1","2","0","1","0","1","0"
"none","fw","scotland","max wright","10","1","7","0","1","0","1","0","1","1"
"none","fw","scotland","robbie winters","28","4","27","4","1","0","0","0","0","0"
"none","fw","scotland","stevie may","22","19","22","19","0","0","0","0","0","0"
"none","fw","england","matthew bradley","18","13","9","7","4","2","4","1","1","3"
