"","year of becoming permanent residents","year of becoming permanent residents","year of becoming permanent residents","year of becoming permanent residents","year of becoming permanent residents"
"","1990 to 2006","1990 to 1994","1995 to 1999","2000 to 2004","2005 to 2006"
"","percent","percent","percent","percent","percent"
"men","","","","",""
"prior canadian skilled work experience only","7.9","10.4","6.5","6.3","11.4"
"prior canadian skilled work and study experience","4.1","4.8","4.8","2.5","5.7"
"prior canadian non-skilled work experience","0.6","0.7","0.7","0.4","1.2"
"prior canadian study experience only","2.5","0.7","2.5","3.2","5.7"
"other prior canadian experience","7.7","13.0","5.3","6.3","5.8"
"no prior canadian experience","77.2","70.4","80.4","81.4","70.3"
"women","","","","",""
"prior canadian skilled work experience only","5.0","5.4","3.9","4.2","9.8"
"prior canadian skilled work and study experience","3.0","2.5","3.2","2.4","5.5"
"prior canadian non-skilled work experience","0.7","1.2","0.5","0.3","0.8"
"prior canadian study experience only","1.9","0.7","1.9","2.3","4.3"
"other prior canadian experience","12.4","20.8","7.7","9.2","12.1"
"no prior canadian experience","77.1","69.4","82.8","81.5","67.5"
