"","revised estimate","previous estimate","revision"
"","annual % change","annual % change","% points"
"transportation","","",""
"2012","2.8","1.0","1.8"
"2013","-0.7","0.1","-0.8"
"2014","4.9","5.3","-0.5"
"2015","8.4","8.3","0.2"
"accommodation","","",""
"2012","2.4","0.9","1.5"
"2013","-1.0","0.4","-1.4"
"2014","1.9","1.7","0.2"
"2015","0.8","1.4","-0.6"
"food and beverage services","","",""
"2012","2.8","2.6","0.2"
"2013","3.4","2.3","1.1"
"2014","3.1","2.6","0.5"
"2015","2.4","2.0","0.5"
"other tourism industries","","",""
"2012","0.8","1.7","-0.9"
"2013","-2.9","0.4","-3.3"
"2014","0.5","1.0","-0.6"
"2015","1.7","1.8","-0.1"
"total tourism industries","","",""
"2012","2.3","1.4","0.9"
"2013","-0.4","0.6","-1.0"
"2014","2.8","2.8","0.0"
"2015","3.8","3.7","0.1"
"total other industries","","",""
"2012","1.4","1.4","0.0"
"2013","3.4","2.7","0.7"
"2014","3.6","1.9","1.7"
"2015","0.6","1.4","-0.8"
"tourism activities","","",""
"2012","2.0","1.4","0.7"
"2013","0.6","1.2","-0.5"
"2014","3.0","2.6","0.4"
"2015","2.9","3.1","-0.2"
