"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bodø/glimt","2009","tippeligaen","2","0","1","1","","","3","1","none","none"
"bodø/glimt","2010","1. divisjon","0","0","0","0","","","0","0","none","none"
"bodø/glimt","2011","1. divisjon","19","1","2","0","","","21","1","none","none"
"bodø/glimt","total","total","21","1","3","1","","","","","24","2"
"nybergsund","2009","1. divisjon","6","0","0","0","","","6","0","none","none"
"nybergsund","total","total","6","0","0","0","","","","","6","0"
"løv-ham","2010","1. divisjon","28","0","4","1","","","32","1","none","none"
"løv-ham","total","total","28","0","4","1","","","","","32","1"
"umea","2012","superettan","25","2","1","0","","","26","2","none","none"
"umea","total","total","25","2","1","0","","","","","26","2"
"ranheim","2013","1. divisjon","22","0","4","0","","","26","0","none","none"
"ranheim","2014","1. divisjon","29","5","4","0","","","33","5","none","none"
"ranheim","2015","1. divisjon","16","1","2","0","","","18","1","none","none"
"ranheim","2016","1. divisjon","26","0","2","0","","","28","0","none","none"
"ranheim","2017","1. divisjon","16","0","3","0","","","19","0","none","none"
"ranheim","2018","eliteserien","1","0","0","0","","","1","0","none","none"
"ranheim","total","total","110","6","15","0","","","","","125","6"
"steinkjer","2019","3. divisjon","0","0","0","0","","","0","0","none","none"
"steinkjer","total","total","0","0","0","0","","","","","0","0"
"career total","career total","career total","190","9","23","2","","","","","213","11"
