"club","season","league","league","league","knvb cup","knvb cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"nec","2011-12","eredivisie","30","2","3","0","-","-","33","2","none","none"
"nec","2012-13","eredivisie","29","0","1","0","-","-","30","0","none","none"
"nec","2013-14","eredivisie","24","2","4","1","-","-","0","0","28","3"
"nec","2014-15","eerste divisie","37","7","2","0","-","-","39","7","none","none"
"nec","2015-16","eredivisie","34","4","3","1","-","-","37","5","none","none"
"nec","total","total","154","15","13","2","-","-","0","0","167","17"
"vitesse","2016-17","eredivisie","29","6","5","0","-","-","34","6","none","none"
"vitesse","2017-18","eredivisie","30","3","1","0","5","0","5","0","41","3"
"vitesse","2018-19","eredivisie","16","1","3","0","4","0","-","-","23","1"
"vitesse","total","total","75","10","9","0","9","0","5","0","98","10"
"career total","career total","career total","229","25","22","2","9","0","5","0","265","27"
