"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"middlesbrough","1929-30","first division","11","1","2","0","13","1"
"middlesbrough","1931-32","first division","2","0","0","0","2","0"
"middlesbrough","total","total","13","1","2","0","15","1"
"brentford","1932-33","third division south","34","0","0","0","34","0"
"brentford","1933-34","second division","35","1","0","0","35","1"
"brentford","1934-35","second division","27","0","0","0","27","0"
"brentford","1935-36","first division","13","0","0","0","13","0"
"brentford","total","total","109","1","0","0","109","1"
"bristol rovers","1936-37","third division south","19","0","0","0","19","0"
"career total","career total","career total","141","2","2","0","143","2"
