"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lanus","2013-14","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"flandria","2013-14","primera b metropolitana","27","0","1","0","-","-","0","0","28","0","none","none"
"san jorge","2014","torneo federal b","8","0","0","0","-","-","0","0","8","0","none","none"
"chacarita juniors","2015","primera b nacional","7","1","1","0","-","-","0","0","8","1","none","none"
"chacarita juniors","2016","primera b nacional","18","5","0","0","-","-","0","0","18","5","none","none"
"chacarita juniors","2016-17","primera b nacional","26","1","0","0","-","-","0","0","26","1","none","none"
"chacarita juniors","2017-18","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"chacarita juniors","total","total","51","7","1","0","-","-","0","0","52","7","none","none"
"atletico de rafaela","2017-18","primera b nacional","18","6","1","0","-","-","1","0","20","6","none","none"
"career total","career total","career total","104","13","3","0","-","-","0","0","1","0","108","13"
