"perceptions of safety, crime and neighbourhood","yukon","northwest territories","nunavut","all territories","all territories","all territories"
"perceptions of safety, crime and neighbourhood","yukon","northwest territories","nunavut","males","females","total"
"perceptions of safety, crime and neighbourhood","percent","percent","percent","percent","percent","percent"
"satisfaction with personal safety from crime","","","","","",""
"very satisfied","38","33","31","39","29","34"
"satisfied","51","52","57","52","55","53"
"neither satisfied nor dissatisfied","7","10","7","6","10","8"
"dissatisfied or very dissatisfied","3","5","3","2","5","4"
"no opinion/don't know/refusal","f","f","f","1","1","1"
"compared to other areas in canada, do you think crime in your neighbourhood is..","","","","","",""
"... higher?","4","8","12","9","7","8"
"... about the same?","18","23","29","21","25","23"
"... lower","75","64","53","67","62","65"
"... don't know/refusal","3","4","6","3","5","4"
"during the last 5 years, do you think that crime in your neighbourhood has..","","","","","",""
"... increased?","13","19","15","12","20","16"
"... decreased?","9","9","9","11","8","9"
"... remained about the same","71","65","72","72","66","69"
"... just moved/has not lived in neighbourhood long enough/refusal","7","7","4","5","7","6"
"feeling of safety when walking alone at night in the neighbourhood","","","","","",""
"very safe","54","41","51","62","34","48"
"reasonably safe","31","32","27","27","34","30"
"somewhat unsafe or very unsafe","6","14","10","8","12","10"
"do not walk alone","9","14","12","3","20","11"
"don't know/refusal","f","f","f","f","f","f"
"social disorder - following situations represent a big or moderate problem in the neighbourhood:","","","","","",""
"noisy neighbours or loud parties","9","14","12","9","15","12"
"people hanging around on the streets","8","17","12","11","14","13"
"garbage or litter lying around","6","16","27","13","19","16"
"vandalism, graffiti","11","16","19","14","16","15"
"people being attacked or harassed because of their ethnic origin or religion","5","5","6","5","6","6"
"people using or dealing drugs","14","25","26","20","23","22"
"people being drunk or rowdy in public places","16","32","28","25","26","26"
"at least one of the above situations","28","46","50","37","44","41"
"trust people in the neighbourhood","","","","","",""
"cannot be trusted","9","16","15","10","17","13"
"can be somewhat trusted","28","29","31","31","28","29"
"can be trusted","36","32","26","34","30","32"
"can be trusted a lot","26","21","26","24","24","24"
"no opinion/don't know/refusal","2","f","f","2","2","2"
"likelihood that neighbours call the police if witness what seems like criminal behaviour","","","","","",""
"very likely","65","61","40","57","55","56"
"somewhat likely","24","27","35","29","27","28"
"somewhat unlikely or unlikely","9","9","19","11","12","12"
"no opinion/don't know/refusal","3","3","5","2","5","3"
"sense of belonging to local community","","","","","",""
"very strong","27","27","45","31","33","32"
"somewhat strong","50","53","39","48","48","48"
"somewhat weak or very weak","19","16","12","16","15","16"
"no opinion/don't know/refusal","4","3","f","4","3","4"
