"type of sentence","type of offence","type of offence","type of offence","type of offence","type of offence","type of offence","type of offence","type of offence","type of offence"
"type of sentence","possession","possession","possession","supply","supply","supply","total","total","total"
"type of sentence","number of cases","percent of guilty cases","median","number of cases","percent of guilty cases","median","number of cases","percent of guilty cases","median"
"guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody","guilty cases sentenced to custody"
"cannabis","505","9","31","80","6","48","585","8","36"
"other drugs","195","11","40","182","14","90","377","12","60"
"cocaine","73","14","30","112","17","75","185","16","60"
"heroin","3","21","33","2","13","267","5","17","57"
"methamphetamines","12","8","40","8","8","100","20","8","62"
"ecstasy","13","8","28","3","4","120","16","7","45"
"other cdsa","94","11","60","57","12","120","151","11","78"
"total drug-related cases sentenced to custody","700","9","35","262","10","76","962","9","44"
"guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine","guilty cases sentenced to fine"
"cannabis","537","9","150","31","2","275","568","8","150"
"other drugs","111","6","200","11","1","200","122","4","200"
"cocaine","32","6","298","6","1","185","38","3","255"
"heroin","1","7","x","0","0","..","1","3","x"
"methamphetamines","10","6","200","0","0","..","10","4","200"
"ecstasy","11","7","255","1","1","x","12","5","253"
"other cdsa","57","7","150","4","1","175","61","5","150"
"total drug-related cases sentenced to fine","648","9","150","42","2","250","690","7","170"
"guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation","guilty cases sentenced to probation"
"cannabis","3,422","58","360","1,060","76","365","4,482","61","360"
"other drugs","1,076","63","360","1,006","76","365","2,082","69","365"
"cocaine","341","64","365","495","76","365","836","71","365"
"heroin","8","57","500","11","69","360","19","63","363"
"methamphetamines","112","71","270","72","73","240","184","72","270"
"ecstasy","94","58","270","59","78","360","153","65","360"
"other cdsa","521","61","360","369","77","360","890","67","360"
"total drug-related cases sentenced to probation","4,498","59","360","2,066","76","365","6,564","63","365"
