"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ferro carril oeste","2005-06","primera b nacional","2","0","0","0","-","-","0","0","2","0"
"ferro carril oeste","2006-07","primera b nacional","0","0","0","0","-","-","0","0","0","0"
"ferro carril oeste","total","total","2","0","0","0","-","-","0","0","2","0"
"atlanta","2011-12","primera b nacional","13","0","0","0","-","-","0","0","13","0"
"metz","2012-13","championnat national","0","0","2","0","-","-","0","0","2","0"
"metz ii","2012-13","cfa","8","0","0","0","-","-","0","0","8","0"
"sportivo desamparados","2012-13","torneo argentino a","0","0","0","0","-","-","0","0","0","0"
"tristan suarez","2013-14","primera b metropolitana","0","0","0","0","-","-","0","0","0","0"
"tristan suarez","2014","primera b metropolitana","0","0","0","0","-","-","0","0","0","0"
"tristan suarez","2015","primera b metropolitana","0","0","0","0","-","-","0","0","0","0"
"tristan suarez","total","total","0","0","0","0","-","-","0","0","0","0"
"fenix","2016","primera b metropolitana","10","2","0","0","-","-","0","0","10","2"
"fenix","2016-17","primera b metropolitana","33","4","0","0","-","-","0","0","33","4"
"fenix","total","total","43","6","0","0","-","-","0","0","43","6"
"villa dalmine","2017-18","primera b nacional","1","0","0","0","-","-","1","0","2","0"
"atlanta","2018-19","primera b metropolitana","30","2","1","0","-","-","0","0","31","2"
"career total","career total","career total","95","8","3","0","-","-","1","0","99","8"
