"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"teuta durres","1994-95","albanian superliga","1","0","0","0","-","-","1","0","none","none"
"teuta durres","1995-96","albanian superliga","0","0","0","0","-","-","0","0","none","none"
"teuta durres","1996-97","albanian superliga","9","0","0","0","1","0","-","-","10","0"
"teuta durres","1997-98","albanian superliga","32","0","0","0","-","-","32","0","none","none"
"teuta durres","1999-00","albanian superliga","26","0","0","0","2","0","-","-","28","0"
"teuta durres","2000-01","albanian superliga","25","0","0","0","2","0","-","-","27","0"
"teuta durres","2001-02","albanian superliga","23","0","0","0","-","-","23","0","none","none"
"teuta durres","2002-03","albanian superliga","25","0","0","0","2","0","-","-","27","0"
"teuta durres","2003-04","albanian superliga","27","0","0","0","-","-","27","0","none","none"
"teuta durres","total","total","168","0","0","0","7","0","0","0","61","15"
"bylis ballsh","1998-99","albanian superliga","29","0","0","0","2","0","-","-","31","0"
"vllaznia shkoder","2004-05","albanian superliga","34","0","0","0","4","0","-","-","38","0"
"vllaznia shkoder","2005-06","albanian superliga","5","0","0","0","-","-","5","0","none","none"
"vllaznia shkoder","total","total","39","0","0","0","4","0","-","-","43","0"
"partizani tirana","2005-06","albanian superliga","24","0","0","0","-","-","24","0","none","none"
"partizani tirana","2006-07","albanian superliga","32","0","0","0","2","0","-","-","34","0"
"partizani tirana","2007-08","albanian superliga","33","0","0","0","-","-","33","0","none","none"
"partizani tirana","2008-09","albanian superliga","32","0","0","0","-","-","32","0","none","none"
"partizani tirana","total","total","121","0","0","0","2","0","-","-","123","0"
"besa kavaje","2009-10","albanian superliga","31","0","7","0","-","-","38","0","none","none"
"besa kavaje","2010-11","albanian superliga","0","0","0","0","1","0","-","-","1","0"
"besa kavaje","total","total","31","0","7","0","1","0","-","-","39","0"
"skenderbeu korce","2010-11","albanian superliga","33","0","2","0","-","-","35","0","none","none"
"skenderbeu korce","2011-12","albanian superliga","25","0","13","0","2","0","1","0","41","0"
"skenderbeu korce","2012-13","albanian superliga","26","0","6","0","2","0","1","0","35","0"
"skenderbeu korce","2013-14","albanian superliga","32","0","7","0","6","0","1","0","46","0"
"skenderbeu korce","2014-15","albanian superliga","36","1","4","0","2","0","1","0","43","1"
"skenderbeu korce","2015-16","albanian superliga","35","0","4","0","12","0","0","0","51","0"
"skenderbeu korce","2016-17","albanian superliga","36","0","7","0","-","-","1","0","44","0"
"skenderbeu korce","2017-18","albanian superliga","28","0","2","0","14","0","-","-","44","0"
"skenderbeu korce","total","total","251","1","46","0","38","0","5","0","342","1"
"career total","career total","career total","639","1","53","0","54","0","5","0","750","1"
