"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"emelec","2010","ecuadorian serie a","25","1","-","-","11","1","36","2","none","none"
"emelec","2011","ecuadorian serie a","30","9","-","-","5","0","35","9","none","none"
"emelec","2012","ecuadorian serie a","40","13","-","-","14","0","54","13","none","none"
"emelec","2013","ecuadorian serie a","35","4","-","-","11","5","46","9","none","none"
"emelec","total","total","130","27","-","-","41","6","171","33","none","none"
"pachuca","2014","liga mx","23","18","2","0","-","-","25","18","none","none"
"west ham united","2014-15","premier league","32","4","4","1","1","0","-","-","37","5"
"west ham united","2015-16","premier league","19","4","4","0","0","0","1","1","24","5"
"west ham united","2016-17","premier league","3","0","0","0","0","0","4","0","7","0"
"west ham united","total","total","54","8","8","1","1","0","5","1","68","10"
"everton","2016-17","premier league","21","3","1","0","1","0","-","-","23","3"
"tigres uanl","2017-18","liga mx","37","15","1","0","-","-","3","2","41","17"
"tigres uanl","2018-19","liga mx","21","4","6","3","-","-","4","4","31","11"
"tigres uanl","total","total","58","19","7","3","-","-","7","6","72","28"
"career total","career total","career total","286","75","18","4","2","0","53","13","359","92"
