"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"stoke","1913-14","southern league division two","9","0","0","0","9","0"
"stoke","1914-15","southern league division two","22","1","4","1","26","2"
"stoke","1919-20","second division","34","2","1","0","35","2"
"stoke","1920-21","second division","9","1","0","0","9","1"
"stoke","total","total","74","4","5","1","79","5"
"sunderland","1920-21","first division","31","3","1","0","32","3"
"sunderland","1921-22","first division","39","4","0","0","39","4"
"sunderland","1922-23","first division","39","1","2","0","41","1"
"sunderland","1923-24","first division","22","0","1","0","23","0"
"sunderland","1924-25","first division","40","3","3","0","43","3"
"sunderland","1925-26","first division","30","1","4","0","34","1"
"sunderland","1926-27","first division","22","0","0","0","22","0"
"sunderland","1927-28","first division","13","0","0","0","13","0"
"sunderland","1928-29","first division","9","0","0","0","9","0"
"sunderland","total","total","245","12","11","0","256","12"
"carlisle united","1929-30","third division north","9","1","0","0","9","1"
"career total","career total","career total","328","17","16","1","344","18"
