"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"negeri sembilan","2007-08","malaysia super league","0","0","0","0","0","0","0","0","0","0"
"negeri sembilan","2009","malaysia super league","0","0","0","0","0","0","0","0","0","0"
"negeri sembilan","2010","malaysia super league","0","0","0","0","0","0","0","0","0","0"
"negeri sembilan","2011","malaysia super league","12","0","0","0","0","0","0","0","0","0"
"negeri sembilan","total","total","0","0","0","0","0","0","0","0","0","0"
"atm","2012","malaysia premier league","4","0","0","0","0","0","0","0","0","0"
"atm","2013","malaysia super league","0","0","0","0","0","0","0","0","0","0"
"atm","total","total","0","0","0","0","0","0","0","0","0","0"
"felda united","2014","malaysia premier league","0","0","0","0","0","0","0","0","0","0"
"felda united","2015","malaysia super league","0","0","0","0","0","0","0","0","0","0"
"felda united","2016","malaysia super league","20","0","1","0","0","0","0","0","0","0"
"felda united","2017","malaysia super league","22","0","1","0","8","0","5","0","36","0"
"felda united","2018","malaysia premier league","17","0","4","0","0","0","-","-","21","0"
"felda united","total","total","0","0","0","0","0","0","0","0","0","0"
"selangor","2019","malaysia super league","0","0","0","0","0","0","0","0","0","0"
"selangor","total","total","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","0","0","0","0","0","0","0","0","0","0"
