"year","team","gp","gs","tackles","tackles","tackles","tackles","tackles","interceptions","interceptions","interceptions","interceptions","interceptions","interceptions","fumbles","fumbles"
"year","team","gp","gs","comb","total","ast","sck","sfty","pdef","int","yds","avg","lng","tds","ff","fr"
"2007","car","3","2","2","1","1","0.0","0","0","0","0","0","0","0","0","0"
"2008","car","16","0","25","20","5","6.0","0","7","0","0","0","0","0","1","1"
"2009","car","13","2","25","17","8","4.0","0","3","0","0","0","0","0","2","0"
"2010","car","16","16","62","51","11","11.5","0","1","0","0","0","0","0","1","0"
"2011","car","15","15","40","30","10","9.0","0","4","0","0","0","0","0","1","0"
"2012","car","16","16","41","30","11","12.5","0","4","0","0","0","0","0","7","1"
"2013","car","14","14","31","25","6","11.0","0","0","0","0","0","0","0","1","1"
"2014","car","16","16","41","29","12","8.5","0","2","0","0","0","0","0","3","1"
"2015","car","9","9","12","5","7","1","0","1","0","0","0","0","0","0","0"
"2016","car","13","13","26","14","12","4","0","2","0","0","0","0","0","3","0"
"2017","car","12","11","16","4","12","0.0","1","0","0","0","0","0","0","0","none"
"total","total","143","114","321","226","95","67.5","0","25","0","0","0","0","0","19","4"
