"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"navalcarnero","2004-05","segunda division b","30","0","0","0","-","-","30","0"
"leganes","2005-06","segunda division b","30","0","2","0","-","-","32","0"
"leganes","2006-07","segunda division b","36","1","0","0","-","-","36","1"
"leganes","2007-08","segunda division b","30","0","0","0","-","-","30","0"
"leganes","total","total","96","1","2","0","-","-","98","1"
"murcia","2008-09","segunda division","0","0","0","0","-","-","0","0"
"murcia","2009-10","segunda division","4","0","0","0","-","-","4","0"
"murcia","2010-11","segunda division b","30","1","1","0","2","0","33","1"
"murcia","2011-12","segunda division","17","0","1","0","-","-","18","0"
"murcia","total","total","51","1","2","0","2","0","55","1"
"platanias","2012-13","superleague greece","24","0","4","0","-","-","28","0"
"platanias","2013-14","superleague greece","32","0","1","0","-","-","33","0"
"platanias","2014-15","superleague greece","26","2","2","0","-","-","28","2"
"platanias","total","total","82","2","7","0","-","-","89","1"
"mumbai city","2015","indian super league","9","1","-","-","9","1","none","none"
"huesca","2015-16","segunda division","10","0","0","0","-","-","10","0"
"huesca","2016-17","segunda division","32","2","1","1","2","0","35","3"
"huesca","2017-18","segunda division","31","1","0","0","-","-","31","1"
"huesca","total","total","73","3","1","1","2","0","76","4"
"career total","career total","career total","341","8","12","1","4","0","357","9"
