"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"como","2000-01","serie c1","0","0","-","-","0","0","none","none"
"pro vercelli","2000-01","serie c12","10","0","-","-","10","0","none","none"
"brescia","2001-02","serie a","7","2","1","0","3","0","11","2"
"brescia","2003-04","serie a","31","12","0","0","3","0","34","12"
"brescia","2004-05","serie a","34","12","1","0","-","-","35","12"
"brescia","total","total","72","26","2","0","6","0","80","26"
"perugia","2002-03","serie a","22","2","5","1","-","-","27","3"
"palermo","2005-06","serie a","35","9","5","1","6","1","46","11"
"palermo","2006-07","serie a","27","5","2","0","6","1","35","6"
"palermo","total","total","62","14","7","1","12","2","81","17"
"sampdoria","2007-08","serie a","12","1","2","0","6","0","27","3"
"brescia","2007-08","serie b","17","8","0","0","-","-","17","8"
"brescia","2008-09","serie b","35","15","2","2","-","-","37","17"
"brescia","2009-10","serie b","39","25","1","0","-","-","40","25"
"brescia","2010-11","serie a","33","12","0","0","-","-","33","12"
"brescia","total","total","124","60","3","2","-","-","127","62"
"genoa","2011-12","serie a","12","1","0","0","-","-","12","1"
"novara","2011-12","serie a","19","2","0","0","-","-","19","2"
"brescia","2012-13","serie b","39","17","1","1","-","-","40","18"
"brescia","2013-14","serie b","32","18","1","1","-","-","33","19"
"brescia","2014-15","serie b","29","14","3","2","-","-","32","16"
"brescia","2015-16","serie b","32","11","0","0","-","-","32","11"
"brescia","2016-17","serie b","35","14","0","0","-","-","35","14"
"brescia","2017-18","serie b","35","13","2","0","-","-","37","13"
"brescia","total","total","190","83","7","4","-","-","197","87"
"career total","career total","career total","523","189","26","8","24","2","573","199"
