"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1970-71","first division","12","1","0","0","0","0","2","1","14","2"
"stoke city","1971-72","first division","19","0","2","0","5","0","7","0","33","0"
"stoke city","1972-73","first division","10","0","0","0","1","0","0","0","11","0"
"stoke city","1973-74","first division","3","0","0","0","1","0","1","0","5","0"
"stoke city","total","total","44","1","2","0","7","0","10","1","63","2"
"crystal palace","1973-74","second division","22","1","1","0","0","0","0","0","23","1"
"crystal palace","1974-75","third division","21","1","0","0","3","0","0","0","24","1"
"crystal palace","1975-76","third division","25","0","4","0","0","0","0","0","29","0"
"crystal palace","1976-77","third division","12","0","1","0","0","0","0","0","13","0"
"crystal palace","1977-78","second division","1","0","0","0","0","0","0","0","1","0"
"crystal palace","total","total","81","2","7","0","3","0","0","0","91","2"
"fulham","1976-77","second division","3","0","0","0","0","0","0","0","3","0"
"fulham","total","total","3","0","0","0","0","0","0","0","3","0"
"tampa bay rowdies","1975","nasl","21","0","-","-","21","0","none","none","none","none"
"tampa bay rowdies","1976","nasl","17","1","-","-","17","1","none","none","none","none"
"tampa bay rowdies","1977","nasl","22","0","-","-","22","0","none","none","none","none"
"tampa bay rowdies","total","total","60","1","-","-","30","1","none","none","none","none"
"houston hurricane","1978","nasl","28","1","-","-","28","1","none","none","none","none"
"houston hurricane","1979","nasl","26","0","-","-","26","0","none","none","none","none"
"houston hurricane","1980","nasl","20","1","-","-","20","1","none","none","none","none"
"houston hurricane","total","total","74","2","-","-","74","2","none","none","none","none"
"minnesota kicks","1980","nasl","12","0","-","-","12","0","none","none","none","none"
"minnesota kicks","1981","nasl","32","1","-","-","32","1","none","none","none","none"
"minnesota kicks","total","total","44","1","-","-","44","1","none","none","none","none"
"career total","career total","career total","306","7","9","0","10","0","10","1","305","8"
