"world or country","share of world's or country's international articles coauthored with the united states","share of u.s. international articles coauthored with country"
"world","38.1","-"
"china","45.2","24.1"
"united kingdom","28.9","13.4"
"germany","28.6","11.1"
"canada","43.4","10.2"
"france","25","7.3"
"italy","28.1","6.5"
"japan","32.7","5.4"
"australia","28.3","6.4"
"south korea","45.7","4.7"
"spain","24.5","4.9"
"netherlands","30.3","4.7"
"switzerland","32.4","4.6"
"brazil","35.9","4"
"india","30.9","3.5"
"sweden","28.8","3.3"
