"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"banfield","2009-10","primera division","2","0","0","0","-","-","0","0","0","0","2","0"
"banfield","2010-11","primera division","17","1","0","0","-","-","2","0","0","0","19","1"
"banfield","2011-12","primera division","12","0","2","0","-","-","0","0","14","0","none","none"
"banfield","2012-13","primera b nacional","20","0","2","1","-","-","0","0","22","1","none","none"
"banfield","2013-14","primera b nacional","35","1","0","0","-","-","0","0","35","1","none","none"
"banfield","2014","primera division","19","0","2","0","-","-","0","0","21","0","none","none"
"banfield","total","total","105","2","6","1","-","-","2","0","0","0","113","3"
"independiente","2015","primera division","29","0","2","0","-","-","6","0","0","0","37","0"
"independiente","2016","primera division","14","0","1","0","-","-","0","0","15","0","none","none"
"independiente","2016-17","primera division","9","0","1","0","-","-","3","0","0","0","13","0"
"independiente","2017-18","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"independiente","total","total","52","0","4","0","-","-","9","0","0","0","65","0"
"colon","2017-18","primera division","22","1","0","0","-","-","2","0","0","0","24","1"
"colon","2018-19","primera division","4","0","2","0","-","-","2","0","0","0","8","0"
"colon","total","total","26","1","2","0","-","-","4","0","0","0","32","1"
"career total","career total","career total","183","3","12","1","-","-","15","0","0","0","210","4"
