"","age group","age group","age group","age group","age group","age group","age group","age group"
"","15 to 19","20 to 24","25 to 34","35 to 44","45 to 54","55 to 64","65 to 74","75 and over"
"","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"type of group, organization or association","","","","","","","",""
"member of a group, organization or association","74","64","65","69","65","64","62","59"
"union or professional association","12","21","33","37","36","30","16","9"
"political organization","3","3","3","3","4","5","7","7"
"sports or recreational organization","51","36","33","34","29","27","24","16"
"cultural, educational or hobby organization","28","25","17","19","18","20","24","20"
"group with religious affiliations","15","11","10","14","14","15","19","22"
"school group, or neighbourhood, civic or community association","31","23","17","20","16","14","14","10"
"service club","5","4","3","5","6","8","11","11"
"youth organization","15","8","5","5","4","3","2","1"
"immigrant or ethnic association or club","3","3","2","3","3","3","3","3"
