"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"swansea city","1995-96","second division","6","0","0","0","0","0","6","0"
"oldham athletic","1993-94","premier league","1","0","0","0","0","0","1","0"
"oldham athletic","1994-95","first division","2","0","0","0","0","0","2","0"
"oldham athletic","1995-96","first division","28","2","0","0","5","0","33","2"
"oldham athletic","1996-97","first division","33","0","1","0","4","0","38","0"
"oldham athletic","total","total","64","2","1","0","10","0","75","2"
"preston north end","1999-2000","second division","4","0","1","0","1","0","6","0"
"port vale","2000-01","second division","4","0","0","0","0","0","4","0"
"huddersfield town","1996-97","first division","6","1","0","0","0","0","6","1"
"huddersfield town","1997-98","first division","8","0","0","0","1","0","9","0"
"huddersfield town","1998-99","first division","19","2","2","0","2","0","33","2"
"huddersfield town","1999-2000","first division","0","0","0","0","1","0","1","0"
"huddersfield town","2000-01","first division","2","0","0","0","1","0","3","0"
"huddersfield town","total","total","35","3","2","0","5","0","42","3"
"hull city","2001-02","third division","41","1","1","0","5","0","47","1"
"macclesfield town","2003-04","third division","5","0","0","0","1","0","6","0"
"plymouth argyle","2002-03","second division","16","0","0","0","2","0","18","0"
"plymouth argyle","2003-04","second division","1","0","0","0","0","0","1","0"
"plymouth argyle","total","total","17","0","0","0","2","0","19","0"
"tranmere rovers","2003-04","second division","25","1","6","0","0","0","31","1"
"tranmere rovers","2004-05","league one","19","2","0","0","5","1","24","3"
"tranmere rovers","total","total","44","3","6","0","5","1","55","4"
"macclesfield town","2005-06","league two","16","0","2","0","4","1","22","1"
"career total","career total","career total","236","9","13","0","32","2","281","11"
