"year reported by police","young women and girls","young women and girls","young women and girls","adult women","adult women","adult women","male and female victims overall","male and female victims overall","male and female victims overall"
"year reported by police","north","south","gap in rate","north","south","gap in rate","north","south","gap in rate"
"year reported by police","rate per 100,000","rate per 100,000","gap in rate","rate per 100,000","rate per 100,000","gap in rate","rate per 100,000","rate per 100,000","gap in rate"
"2009","3,998","1,514","2.6","2,465","915","2.7","2,620","1,099","2.4"
"2010","4,170","1,515","2.8","2,564","910","2.8","2,680","1,077","2.5"
"2011","3,957","1,415","2.8","2,357","846","2.8","2,528","1,003","2.5"
"2012","3,797","1,346","2.8","2,348","815","2.9","2,521","959","2.6"
"2013","3,520","1,224","2.9","2,250","767","2.9","2,328","879","2.6"
"2014","3,380","1,131","3.0","2,230","736","3.0","2,260","832","2.7"
"2015","3,377","1,147","2.9","2,280","755","3.0","2,304","847","2.7"
"2016","3,458","1,167","3.0","2,388","754","3.2","2,351","847","2.8"
"2017","3,561","1,232","2.9","2,462","777","3.2","2,404","870","2.8"
"average rate","3,691","1,299","2.8","2,372","808","2.9","2,444","935","2.6"
"percent change in rate","-11","-19","..","-0.1","-15","..","-8","-21",".."
