"census metropolitan area","population","total crime severity index","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"census metropolitan area","number","index","percent change 2017 to 2018","percent change 2008 to 2018","index","percent change 2017 to 2018","index","percent change 2017 to 2018"
"st. john's","208,289","75","12","-12","83","-1","72","19"
"halifax","430,505","67","2","-30","96","8","57","-1"
"moncton","161,122","100","15","..","89","21","103","14"
"saint john","129,790","54","-4","..","69","-6","49","-3"
"saguenay","168,743","49","-12","-29","63","7","43","-19"
"quebec","808,905","45","-7","-29","55","-14","41","-4"
"sherbrooke","202,593","52","-2","-33","65","10","47","-6"
"trois-rivieres","157,208","54","2","-29","69","21","49","-6"
"montreal","4,239,709","58","-1","-36","72","-3","53","0"
"gatineau","333,108","56","-2","-25","73","6","50","-5"
"ottawa","1,068,569","54","7","-20","68","5","50","8"
"kingston","171,043","67","8","-1","66","5","68","10"
"belleville","111,584","61","-20","..","69","-42","58","-5"
"peterborough","128,932","48","-10","-28","52","-25","47","-2"
"toronto","6,274,077","54","8","-20","78","7","45","8"
"hamilton","770,987","57","-3","-26","66","-13","54","1"
"st. catharines-niagara","472,448","69","15","-14","53","16","75","15"
"kitchener-cambridge-waterloo","579,145","74","6","7","79","9","72","5"
"brantford","148,603","93","6","-11","99","3","90","6"
"guelph","140,683","67","1","16","61","2","69","1"
"london","534,936","76","7","-10","63","1","81","9"
"windsor","349,787","85","21","13","74","17","89","23"
"barrie","228,602","50","12","-20","53","-2","49","18"
"greater sudbury","168,141","80","5","8","88","15","76","2"
"thunder bay","125,373","94","9","-12","160","12","71","7"
"winnipeg","816,741","119","10","-5","161","4","104","14"
"regina","258,386","127","10","-23","120","8","129","11"
"saskatoon","328,181","118","0","-15","109","-2","121","1"
"lethbridge","123,335","137","10","..","100","14","150","9"
"calgary","1,498,941","88","5","4","78","3","92","6"
"edmonton","1,425,627","115","1","-6","107","-1","117","2"
"kelowna","210,961","101","6","-20","48","-19","119","10"
"abbotsford-mission","195,726","90","2","-37","81","-6","93","5"
"vancouver","2,650,798","84","-3","-30","68","-3","90","-3"
"victoria","395,651","64","5","-38","60","-4","65","9"
"canada","37,058,856","75","2","-17","82","1","72","2"
