"individual and place of residence characteristics","sense of belonging with respect to place of residence, country of origin and groups of people","sense of belonging with respect to place of residence, country of origin and groups of people","sense of belonging with respect to place of residence, country of origin and groups of people","sense of belonging with respect to place of residence, country of origin and groups of people","sense of belonging with respect to place of residence, country of origin and groups of people","sense of belonging with respect to place of residence, country of origin and groups of people","sense of belonging with respect to place of residence, country of origin and groups of people"
"individual and place of residence characteristics","analysis method - ordered logistic regression","analysis method - ordered logistic regression","analysis method - ordered logistic regression","analysis method - ordered logistic regression","analysis method - ordered logistic regression","analysis method - ordered logistic regression","analysis method - ordered logistic regression"
"individual and place of residence characteristics","local community","city","province","canada","country of origin","people of same ethnicity or culture","people with same mother tongue"
"individual and place of residence characteristics","odds ratios","odds ratios","odds ratios","odds ratios","odds ratios","odds ratios","odds ratios"
"census metropolitan area","","","","","","",""
"montreal","0.99","1.44","0.85","0.92","1.31","1.14","1.06"
"toronto","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"vancouver","1.29","1.40","1.08","0.92","0.91","0.87","0.85"
"type of municipality","","","","","","",""
"central","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"peripheral 1st ring","0.86","0.64","0.89","0.76","0.87","1.17","1.06"
"peripheral 2nd ring","0.85","0.52","0.99","0.90","1.29","1.21","1.17"
"demographic weight of immigrant population in neighbourhood","","","","","","",""
"less than 50%","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"50% to less than 70%","0.90","0.94","0.86","0.97","0.93","1.14","1.02"
"70% or greater","0.81","0.91","0.83","1.09","1.06","1.25","1.27"
"period of immigration and generation","","","","","","",""
"recent immigrant","1.21","1.07","1.28","0.86","1.92","1.33","1.21"
"established immigrant","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"second generation","1.14","1.02","0.89","0.93","..","1.55","1.60"
