"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bayern munich ii","2015-16","regionalliga bayern","4","0","-","-","-","-","-","-","4","0"
"bayern munich ii","2017-18","regionalliga bayern","10","1","-","-","-","-","-","-","10","1"
"bayern munich ii","totals","totals","14","1","-","-","-","-","-","-","14","1"
"bayern munich","2017-18","bundesliga","1","0","0","0","1","0","0","0","2","0"
"werder bremen","2017-18","bundesliga","9","0","0","0","-","-","-","-","9","0"
"werder bremen","2018-19","bundesliga","4","0","2","0","-","-","-","-","6","0"
"werder bremen","totals","totals","13","0","2","0","-","-","-","-","15","0"
"werder bremen ii","2017-18","3. liga","1","0","-","-","-","-","-","-","1","0"
"career totals","career totals","career totals","29","1","1","0","1","0","0","0","31","1"
