"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","b-side","album"
"year","single","us","us black","us club","us disco","can","ger","nz","spa","uk","b-side","album"
"1976","call me","-","-","-","5","-","-","-","-","-","party line","more, more, more"
"1976","keep it up longer","-","-","-","5","-","-","-","-","-","n.y., you got me dancing","more, more, more"
"1976","more, more, more","4","23","2","1","1","9","25","23","5","more, more, more","more, more, more"
"1976","party line/fill me up/call me","-","-","9","-","-","-","-","-","-","","more, more, more"
"1976","party line","80","95","4","-","90","-","-","-","-","call me","more, more, more"
"1977","n.y., you got me dancing","27","-","4","-","89","-","-","-","-","keep it up longer","white witch"
"1977","what's your name, what's your number","56","-","9","-","-","-","-","-","34","fill me up","white witch"
"1980","war machine","-","-","-","-","-","-","-","-","-","the unkindest cut","war machine"
"1980","make my music for me","-","-","-","-","-","-","-","-","-","whatever happened to love","war machine"
