"","resell","resell","resell","resell","discard age","discard age"
"","ratio","ratio","age","age","discard age","discard age"
"","mean","standard error","mean","standard error","mean","standard error"
"all buildings","0.393","0.293","15.4","10.1","13.8","9.3"
"plants for manufacturing","0.334","0.281","19.4","13.4","21.0","10.6"
"warehouses, refrigerated storage, freight terminals","0.293","0.297","18.8","9.9","17.3","10.7"
"maintenance garages, workshops, equipment storage facilities","0.426","0.240","17.5","8.4","20.5","10.5"
"office buildings","0.476","0.288","15.7","9.7","11.3","7.4"
"shopping centres, plazas, malls, stores","0.435","0.288","8.0","6.3","9.3","4.9"
"other industrial and commercial","0.358","0.279","13.9","7.7","13.3","9.2"
"telephone and cablevision lines, underground and marine cables","0.132","0.054","11.1","1.9","16.8","0.6"
"communication towers, antennae, earth stations","0.508","0.435","12.5","2.9","23.6","6.7"
"all machinery and equipment","0.320","0.293","8.0","4.7","8.5","4.9"
"office furniture, furnishing","0.314","0.287","6.6","3.6","8.4","3.3"
"computers, associated hardware and word processors","0.249","0.270","4.3","1.7","4.8","1.6"
"non-office furniture, furnishings and fixtures","0.519","0.354","6.9","3.4","8.1","3.4"
"scientific, professional and medical devices","0.373","0.330","9.0","5.6","11.4","5.3"
"heating, electrical, plumbing, air conditioning and refrigeration equipment","0.655","0.303","9.1","4.0","11.0","4.0"
"pollution abatement and control equipment","0.293","0.282","11.3","4.3","11.5","6.0"
"motors, generators, transformers, turbines, compressors and pumps of all types","0.466","0.320","9.3","5.8","14.0","7.6"
"heavy construction equipment","0.365","0.304","6.9","4.0","10.7","5.9"
"tractors and other field equipment","0.288","0.250","8.8","4.4","13.3","3.8"
"capitalized tooling and other tools","0.294","0.284","7.1","3.9","8.5","4.2"
"drilling and blasting equipment","0.561","0.254","6.9","4.3","..",".."
"automobiles and major replacement parts","0.314","0.260","5.5","2.5","6.4","2.9"
"buses (all types) and major replacement parts","0.122","0.221","14.8","6.9","22.2","8.0"
"trucks, vans, truck tractors, truck trailers and major replacement parts","0.295","0.264","7.7","3.5","8.8","3.6"
"other transportation equipment","0.314","0.260","9.4","4.3","11.2","4.6"
"computer-assisted processing machinery and equipment","0.322","0.301","10.3","5.7","12.0","5.8"
"non-computer-assisted processing machinery and equipment","0.292","0.283","9.5","5.2","12.0","6.1"
"communication and related equipment","0.283","0.291","7.3","3.0","7.5","3.4"
"safety and security equipment and other machinery and equipment","0.386","0.350","8.8","5.0","10.6","4.7"
