"","agricultural region 1","agricultural region 1","agricultural region 3","agricultural region 3","agricultural region 4","agricultural region 4","total new brunswick","total new brunswick"
"","number","percent","number","percent","number","percent","number","percent"
"farms classified by total farm capital","","","","","","","",""
"farms, under $200,000","198","22.3","149","25.0","143","36.3","696","26.7"
"farms, $200,000 to $499,999","287","32.3","241","40.4","136","34.5","952","36.5"
"farms, $500,000 to $1,499,999","228","25.6","158","26.5","83","21.1","657","25.2"
"farms, $1,500,000 to $3,499,999","103","11.6","42","7.0","29","7.4","215","8.2"
"farms, $3,500,000 and over","73","8.2","7","1.2","3","0.8","91","3.5"
"farms classified by total gross farm receipts","","","","","","","",""
"farms, under $25,000","459","51.6","358","60.0","226","57.4","1,498","57.4"
"farms, $25,000 to $99,999","149","16.8","119","19.9","73","18.5","457","17.5"
"farms, $100,000 to $499,999","138","15.5","78","13.1","70","17.8","401","15.4"
"farms, $500,000 to $1,999,999","113","12.7","39","6.5","23","5.8","215","8.2"
"farms, $2,000,000 and over","30","3.4","3","0.5","2","0.5","40","1.5"
