"expenditures and gross domestic product","longer-term trends","longer-term trends","longer-term trends","most recent 5 years","most recent 5 years","most recent 5 years","most recent 5 years","most recent 5 years"
"expenditures and gross domestic product","1993-2003","2003-08","2008-13","2008-09","2009-10","2010-11","2011-12","2012-13"
"","current $","current $","current $","current $","current $","current $","current $","current $"
"total r&d, all performers","5.9","6.8","2.3","-0.4","0.8","4.8","1.8","4.8"
"business","5.7","7.7","2.1","-2.9","-1.2","5.4","2.8","6.7"
"federal government","4.3","4.2","1.8","3.8","5.5","5.4","-2.6","-2.8"
"federal intramurala","4.2","3.6","2.1","2.4","4.6","9.3","-2.7","-2.9"
"ffrdcs","4.4","5.2","1.3","6.3","7","-1.5","-2.4","-2.7"
"nonfederal government","na","na","6.4","na","20.9","0.6","-5.1","-0.1"
"universities and colleges","7.4","5.1","3.7","5.7","6","3.4","1.3","2.2"
"other nonprofit organizationsb","9.6","4.5","2.6","10","2.2","-1.5","-0.6","3"
"gross domestic product","5.3","5","2.6","-2","3.8","3.7","4.2","3.7"
"","constant 2009 $","constant 2009 $","constant 2009 $","constant 2009 $","constant 2009 $","constant 2009 $","constant 2009 $","constant 2009 $"
"total r&d, all performers","3.9","3.9","0.8","-1.2","-0.5","2.7","0","3.2"
"business","3.8","4.8","0.6","-3.6","-2.4","3.3","1","5.1"
"federal government","2.4","1.4","0.3","3","4.2","3.3","-4.3","-4.3"
"federal intramurala","2.3","0.9","0.6","1.6","3.4","7.1","-4.4","-4.3"
"ffrdcs","2.5","2.4","-0.2","5.5","5.7","-3.5","-4.1","-4.1"
"nonfederal government","na","na","4.9","na","19.4","-1.4","-6.8","-1.6"
"universities and colleges","5.5","2.3","2.2","4.9","4.7","1.3","-0.4","0.7"
"other nonprofit organizationsb","7.6","1.7","1.1","9.2","1","-3.4","-2.3","1.5"
"gross domestic product","3.4","2.2","1.2","-2.8","2.5","1.6","2.3","2.2"
