"impacts of behaviours","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","sexualized behaviours","discriminatory behaviours","discriminatory behaviours","discriminatory behaviours","discriminatory behaviours","discriminatory behaviours","discriminatory behaviours"
"impacts of behaviours","total sexualized or discriminatory behaviours","total sexualized or discriminatory behaviours","total sexualized behaviours","total sexualized behaviours","inappropriate verbal or non-verbal communication","inappropriate verbal or non-verbal communication","sexually explicit materials","sexually explicit materials","physical contact or suggested sexual relations","physical contact or suggested sexual relations","total discriminatory behaviours","total discriminatory behaviours","discrimination on the basis of sex","discrimination on the basis of sex","discrimination on the basis of sexual orientation or gender identity","discrimination on the basis of sexual orientation or gender identity"
"impacts of behaviours","men","women","men","women","men","women","men","women","men","women","men","women","men","women","men","women"
"impacts of behaviours","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"avoided or wanted to avoid specific people at work","","","","","","","","","","","","","","","",""
"never","77","33","79","36","81","37","85","46","67","35","60","37","62","38","33","24"
"sometimes","16","40","15","39","14","41","9","33","24","40","26","40","25","40","43","48"
"always","7","27","6","25","5","22","6","21","10","25","14","23","13","22","24","28"
"negative impacts on personal or social life","","","","","","","","","","","","","","","",""
"never","86","58","88","63","89","63","89","63","84","66","72","53","74","54","46","33"
"sometimes","10","29","9","27","9","28","8","22","14","23","19","32","18","32","42","42"
"always","3","13","2","10","2","9","3","15","3","10","8","15","9","14","13","25"
"stayed or wanted to stay away from specific locations on the base, wing, or formation","","","","","","","","","","","","","","","",""
"never","87","55","89","57","89","59","91","57","83","60","73","59","75","60","53","41"
"sometimes","9","30","8","28","8","28","6","25","13","27","17","27","16","27","31","32"
"always","4","16","3","14","3","14","3","18","4","13","10","14","9","13","15","27"
"stayed or wanted to stay away from the gym on the base, wing, or formation","","","","","","","","","","","","","","","",""
"never","92","73","93","75","94","75","92","66","89","79","84","75","85","77","64","58"
"sometimes","6","18","5","17","5","18","6","21","9","14","11","17","10","17","23","24"
"always","2","9","1","8","2","8","f","13","2","7","6","7","6","7","13","18"
"avoided or wanted to avoid the mess","","","","","","","","","","","","","","","",""
"never","90","66","91","67","92","67","89","64","87","69","80","68","81","69","66","48"
"sometimes","7","23","6","22","6","23","6","19","9","21","12","20","12","20","18","28"
"always","3","12","3","11","3","10","4","16","4","10","8","11","8","11","16","25"
"missed work or worked fewer hours","","","","","","","","","","","","","","","",""
"never","93","81","95","85","95","86","93","79","92","85","85","78","86","80","70","63"
"sometimes","5","14","4","12","4","12","5","11","7","11","11","16","10","15","22","20"
"always","1","5","1","4","1","2","f","9","f","4","4","6","4","5","f","17"
"avoided optional work-related social functions","","","","","","","","","","","","","","","",""
"never","84","56","87","60","87","59","88","61","81","64","71","52","72","53","45","35"
"sometimes","10","29","9","28","9","29","8","23","12","24","17","31","16","31","35","32"
"always","5","15","4","13","4","12","4","16","7","12","12","17","12","16","20","33"
"negative emotional impacts","","","","","","","","","","","","","","","",""
"never","82","48","85","56","86","56","87","56","79","61","66","42","66","43","43","30"
"sometimes","13","34","12","30","11","30","8","24","16","26","23","39","22","39","39","41"
"always","5","18","3","15","3","14","4","19","5","13","12","19","12","18","17","29"
"difficulty sleeping","","","","","","","","","","","","","","","",""
"never","90","69","92","74","92","74","92","66","88","77","78","66","78","67","57","46"
"sometimes","7","20","6","17","6","17","5","18","8","14","15","23","14","22","29","32"
"always","3","11","2","9","2","8","3","16","4","9","8","12","8","11","13","22"
"loss of trust in chain of command","","","","","","","","","","","","","","","",""
"never","82","55","86","62","86","61","86","65","82","72","65","50","65","50","47","35"
"sometimes","11","25","9","23","9","25","9","15","12","17","18","26","18","26","31","33"
"always","7","20","5","15","5","15","5","20","6","11","17","24","17","23","22","32"
"loss of trust in unit","","","","","","","","","","","","","","","",""
"never","85","61","88","66","88","66","85","66","83","73","68","55","68","56","46","41"
"sometimes","9","22","8","21","8","21","8","15","10","17","16","24","16","23","35","29"
"always","6","17","4","13","5","13","6","19","6","10","15","21","15","20","19","30"
"overall impact","","","","","","","","","","","","","","","",""
"never experienced any of these impacts","70","24","73","27","75","29","77","33","59","24","50","24","51","24","21","18"
"stated 'sometimes' for at least one of these impacts","18","41","17","40","16","40","14","39","26","44","26","41","25","41","38","41"
"stated 'always' for at least one of these impacts","12","35","10","33","9","32","9","28","14","32","25","35","24","35","41","41"
