"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1977-78","third division","10","2","0","0","0","0","0","0","10","2"
"port vale","1978-79","fourth division","26","6","0","0","2","0","0","0","28","6"
"port vale","1979-80","fourth division","35","11","0","0","0","0","0","0","35","11"
"port vale","1980-81","fourth division","35","9","5","2","2","2","0","0","42","13"
"port vale","1981-82","fourth division","30","4","5","4","2","1","0","0","37","9"
"port vale","1982-83","fourth division","5","0","0","0","1","0","0","0","6","0"
"port vale","total","total","141","32","10","6","7","3","0","0","158","41"
"stoke city","1982-83","first division","4","0","0","0","0","0","0","0","4","0"
"stoke city","1983-84","first division","3","0","0","0","0","0","0","0","3","0"
"stoke city","total","total","7","0","0","0","0","0","0","0","7","0"
"newport county","1983-84","third division","6","2","3","1","0","0","0","0","9","3"
"plymouth argyle","1983-84","third division","11","3","0","0","0","0","3","0","14","3"
"newport county","1984-85","third division","41","13","2","0","1","1","5","1","49","15"
"mansfield town","1985-86","fourth division","40","16","2","1","4","2","4","1","50","20"
"mansfield town","1986-87","third division","21","3","0","0","2","0","2","0","25","3"
"mansfield town","total","total","61","19","2","1","6","2","6","1","75","23"
"doncaster rovers","1987-88","fourth division","29","4","0","0","3","0","0","0","32","4"
"career total","career total","career total","296","73","17","8","17","6","14","2","344","89"
