"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"hibernian","1948-49","scottish first division","4","0","0","0","0","0","-","-","4","0"
"hibernian","1949-50","scottish first division","29","0","1","0","9","0","-","-","39","0"
"hibernian","1950-51","scottish first division","29","0","5","0","11","0","-","-","45","0"
"hibernian","1951-52","scottish first division","24","0","3","0","0","0","-","-","27","0"
"hibernian","1952-53","scottish first division","27","0","5","0","7","0","4","0","43","0"
"hibernian","1953-54","scottish first division","11","0","0","0","9","0","-","-","20","0"
"hibernian","1954-55","scottish first division","24","0","0","0","6","0","-","-","30","0"
"hibernian","1955-56","scottish first division","33","0","2","0","6","0","5","0","41","0"
"hibernian","total","total","181","0","16","0","48","0","9","0","254","0"
"liverpool","1956-57","second division","40","0","1","0","0","0","-","-","41","0"
"liverpool","1957-58","second division","39","0","5","0","0","0","-","-","44","0"
"liverpool","1958-59","second division","41","0","1","0","0","0","-","-","42","0"
"liverpool","total","total","120","0","7","0","0","0","-","-","127","0"
"falkirk","1959-60","scottish second division","6","0","0","0","0","0","-","-","6","0"
"stoke city","1959-60","second division","10","0","0","0","0","0","-","-","10","0"
"leeds united","1961-62","second division","31","0","2","0","3","0","-","-","36","0"
"leeds united","1962-63","second division","6","0","0","0","0","0","-","-","6","0"
"leeds united","total","total","37","0","2","0","3","0","-","-","42","0"
"career total","career total","career total","354","0","25","0","51","0","9","0","439","0"
