"","estrie","estrie","monteregie","monteregie","montreal - laval","montreal - laval","laurentides","laurentides","outaouais","outaouais"
"","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"sex","","","","","","","","","",""
"female","30.1","28.4","37.3","32.4","31.9","38.8","33.8","38.2","28.2","27.7"
"male","69.9","71.6","62.7","67.4","69.0","61.2","67.6","61.8","71.8","72.3"
"marital status","","","","","","","","","",""
"single","24.1","27.8","26.1","25.7","37.9","37.1","41.9","27.4","28.2","36.7"
"married","49.6","41.2","48.1","41.9","43.1","35.3","43.2","43.7","63.2","44.6"
"common-law","17.3","23.7","18.3","25.3","6.9","16.7","0.0","22.2","5.1","16.3"
"separated, divorced, or widowed","8.3","7.3","7.5","6.9","14.7","10.1","14.9","6.9","4.3","0.0"
