"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester united","2005-06","premier league","0","0","0","0","1","0","0","0","1","0"
"manchester united","2006-07","premier league","0","0","0","0","0","0","0","0","0","0"
"manchester united","2007-08","premier league","0","0","0","0","1","0","0","0","1","0"
"manchester united","2008-09","premier league","1","0","0","0","0","0","0","0","1","0"
"manchester united","total","total","1","0","0","0","2","0","0","0","3","0"
"royal antwerp","2005-06","belgian first division","17","1","0","0","0","0","0","0","17","1"
"rangers","2006-07","scottish premier league","7","0","0","0","2","0","1","0","10","0"
"stoke city","2006-07","championship","13","1","1","0","0","0","0","0","14","1"
"plymouth argyle","2007-08","championship","12","2","0","0","0","0","0","0","12","2"
"sheffield united","2007-08","championship","6","0","3","0","0","0","0","0","9","0"
"nottingham forest","2008-09","championship","13","1","0","0","1","0","0","0","14","1"
"ipswich town","2009-10","championship","16","1","1","0","1","0","0","0","18","1"
"ipswich town","2010-11","championship","16","0","0","0","0","0","0","0","16","0"
"ipswich town","2011-12","championship","34","5","1","0","1","0","0","0","36","5"
"ipswich town","2012-13","championship","34","0","1","0","2","0","0","0","37","0"
"ipswich town","total","total","100","6","3","0","4","0","0","0","107","6"
"charlton athletic","2010-11","league one","20","2","0","0","1","1","4","0","25","3"
"millwall","2013-14","championship","26","1","1","0","2","0","0","0","29","1"
"millwall","2014-15","championship","27","1","2","0","0","0","0","0","29","1"
"millwall","2015-16","league one","8","0","1","0","1","0","1","0","11","0"
"millwall","total","total","61","2","4","0","3","0","1","0","69","2"
"northampton town","2015-16","league two","10","0","0","0","0","0","0","0","10","0"
"gillingham","2016-17","league one","17","0","0","0","0","0","0","0","17","0"
"gillingham","2017-18","league one","18","2","2","0","0","0","1","0","21","2"
"gillingham","total","total","35","2","2","0","0","0","1","0","38","2"
"career total","career total","career total","295","16","13","0","13","1","7","0","323","18"
