"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"walsall","2006-07","league two","1","0","-","-","1","0","none","none","none","none"
"walsall","2007-08","league one","35","1","4","0","0","0","1","0","40","1"
"walsall","2008-09","league one","45","12","1","0","1","0","2","0","49","12"
"walsall","2009-10","league one","42","14","2","0","1","0","1","0","46","14"
"walsall","total","total","123","27","7","0","2","0","4","0","136","27"
"halesowen town","2006-07","southern league premier division","10","8","-","-","10","8","none","none","none","none"
"watford","2010-11","championship","36","2","2","0","2","1","-","-","40","3"
"watford","2011-12","championship","43","11","2","1","1","0","-","-","46","12"
"watford","2012-13","championship","40","19","1","0","0","0","2","1","43","20"
"watford","2013-14","championship","44","24","3","1","1","0","-","-","48","25"
"watford","2014-15","championship","42","21","1","0","0","0","-","-","43","21"
"watford","2015-16","premier league","38","13","5","2","0","0","-","-","43","15"
"watford","2016-17","premier league","37","10","2","0","1","0","-","-","40","10"
"watford","2017-18","premier league","29","5","1","1","1","0","-","-","31","6"
"watford","2018-19","premier league","30","9","4","2","0","0","-","-","34","11"
"watford","total","total","339","114","21","7","6","1","2","1","368","123"
"career total","career total","career total","472","149","28","7","8","1","6","1","514","158"
