"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"real madrid b","2000-01","segunda division b","6","0","-","-","6","0","none","none"
"alcorcon","2001-02","segunda division b","32","3","-","-","32","3","none","none"
"sevilla b","2002-03","segunda division b","2","0","-","-","2","0","none","none"
"merida","2002-03","segunda division b","15","0","1","0","-","-","16","0"
"huesca","2004-05","segunda division b","29","10","-","-","29","10","none","none"
"burgos","2005-06","segunda division b","36","10","2","0","2","0","40","10"
"huesca","2006-07","segunda division b","34","9","-","-","4","0","38","9"
"huesca","2007-08","segunda division b","37","20","2","1","4","2","43","23"
"huesca","2008-09","segunda division","34","11","1","0","-","-","35","11"
"huesca","total","total","105","40","3","1","8","2","116","43"
"gimnastic","2009-10","segunda division","34","4","1","0","-","-","35","4"
"huesca","2010-11","segunda division","38","5","0","0","-","-","38","5"
"huesca","2011-12","segunda division","35","11","2","1","-","-","37","12"
"huesca","total","total","73","16","2","1","-","-","75","17"
"apollon limassol","2012-13","cypriot first division","28","6","7","1","-","-","35","7"
"apollon limassol","2013-14","cypriot first division","31","4","7","1","8","0","46","5"
"apollon limassol","total","total","59","10","14","2","8","0","81","12"
"omonia","2014-15","cypriot first division","25","3","6","0","5","1","36","4"
"toledo","2015-16","segunda division b","7","2","-","-","7","2","none","none"
"career total","career total","career total","423","98","29","4","23","3","475","105"
