"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"belgrano","2013-14","primera division","1","0","0","0","-","-","0","0","0","0","1","0"
"belgrano","2014","primera division","1","0","0","0","-","-","0","0","1","0","none","none"
"belgrano","2015","primera division","2","0","0","0","-","-","0","0","0","0","2","0"
"belgrano","2016","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"belgrano","2016-17","primera division","11","0","4","0","-","-","3","1","0","0","18","1"
"belgrano","2017-18","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"belgrano","total","total","15","0","4","0","-","-","3","1","0","0","22","1"
"santamarina","2016","primera b nacional","18","3","0","0","-","-","0","0","18","3","none","none"
"ferro carril oeste","2016-17","primera b nacional","20","3","1","0","-","-","0","0","21","3","none","none"
"ferro carril oeste","2017-18","primera b nacional","19","1","0","0","-","-","0","0","19","1","none","none"
"ferro carril oeste","total","total","39","4","1","0","-","-","0","0","40","4","none","none"
"central cordoba","2018-19","primera b nacional","0","0","0","0","-","-","0","0","0","0","none","none"
"career total","career total","career total","72","7","5","0","-","-","3","1","0","0","80","8"
