"field of research","2012","2012","2019","2019"
"field of research","total","% of total","total","% of total"
"all postdocs","2793","100","3335","100"
"science","2108","75.5","2132","63.9"
"agricultural sciences","0","","3","0.1"
"biological and biomedical sciences","247","8.8","222","6.7"
"chemistry","496","17.8","467","14"
"computer and information sciences","123","4.4","180","5.4"
"geosciences, atmospheric sciences, and ocean sciences","240","8.6","262","7.9"
"mathematics and statistics","61","2.2","70","2.1"
"natural resources and conservationa","na","na","27","0.8"
"physics and astronomy","861","30.8","773","23.2"
"psychology","1","","0",""
"social sciences","6","0.2","7","0.2"
"other science fields","73","2.6","121","3.6"
"engineering","612","21.9","1028","30.8"
"aerospace, aeronautical, and astronautical engineering","17","0.6","30","0.9"
"agricultural engineering","0","0","0","0"
"bioengineering and biomedical engineering","17","0.6","18","0.5"
"chemical engineering","84","3","183","5.5"
"civil engineering","15","0.5","61","1.8"
"electrical, electronics, and communications engineering","42","1.5","97","2.9"
"engineering mechanics, physics, and science","20","0.7","140","4.2"
"industrial and manufacturing engineering","0","","4","0.1"
"materials and metallurgical engineering","226","8.1","221","6.6"
"mechanical engineering","91","3.3","176","5.3"
"nuclear engineering","48","1.7","66","2"
"petroleum engineering","0","","3","0.1"
"other engineering fields","52","1.9","29","0.9"
"health","30","1.1","1",""
"multidisciplinary","31","1.1","113","3.4"
"non-science and engineering","0","","15","0.4"
"field of research not known","12","0.4","46","1.4"
