"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"camarthen town","1996-97","league of wales","24","2","0","0","0","0","0","0","24","2"
"camarthen town","1997-98","league of wales","34","1","0","0","0","0","0","0","34","1"
"camarthen town","carmarthen town total","carmarthen town total","58","3","0","0","0","0","0","0","58","3"
"cardiff city","1998-99","third division","28","0","5","1","2","0","5","0","40","1"
"aston villa","1998-99","premier league","2","0","0","0","0","0","0","0","2","0"
"aston villa","1999-2000","premier league","28","1","5","0","3","0","0","0","36","1"
"aston villa","2000-01","premier league","19","0","0","0","1","0","1","0","21","0"
"aston villa","2001-02","premier league","30","0","0","0","1","0","8","0","39","0"
"aston villa","2002-03","premier league","12","0","0","0","1","0","4","0","17","0"
"aston villa","2003-04","premier league","25","0","0","0","5","0","0","0","30","0"
"aston villa","2004-05","premier league","30","0","1","0","1","0","0","0","32","0"
"aston villa","2005-06","premier league","12","1","3","0","1","0","0","0","16","1"
"aston villa","2006-07","premier league","0","0","0","0","0","0","0","0","0","0"
"aston villa","aston villa total","aston villa total","158","2","9","0","13","0","13","0","193","2"
"career total","career total","career total","244","5","14","1","15","0","18","0","291","6"
