"census metropolitan area","2018 population count","2018","2018","2017r","2017r","difference from 2017","difference from 2017","average 2008 to 2017","average 2008 to 2017"
"census metropolitan area","number","number of victims","rate","number of victims","rate","number of victims","percent change in rate","number of victims","rate"
"500,000 and over population","","","","","","","","",""
"toronto","6,274,077","36","0.57","36","0.58","0","-1.8","22","0.37"
"montreal","4,239,709","24","0.57","15","0.36","9","57.5","16","0.41"
"vancouver","2,650,798","20","0.75","20","0.77","0","-1.5","17","0.68"
"calgary","1,498,941","4","0.27","12","0.81","-8","-67.2","6","0.46"
"edmonton","1,425,627","14","0.98","14","1.00","0","-2.0","7","0.52"
"ottawa","1,068,569","5","0.47","4","0.38","1","22.2","2","0.24"
"winnipeg","816,741","4","0.49","11","1.37","-7","-64.2","6","0.79"
"quebec","808,905","2","0.25","0","0.00","2","..","0","0.04"
"hamilton","770,987","2","0.26","1","0.13","1","97.2","0","0.06"
"kitchener-cambridge-waterloo","579,145","2","0.35","0","0.00","2","..","0","0.06"
"london","534,936","0","0.00","0","0.00","0","..","1","0.12"
"100,000 to less than 500,000 population","","","","","","","","",""
"st. catharines-niagara","472,448","0","0.00","0","0.00","0","..","0","0.04"
"oshawa","458,016","2","0.44","1","0.22","1","94.3","0","0.05"
"halifax","430,505","2","0.46","0","0.00","2","..","2","0.37"
"victoria","395,651","0","0.00","1","0.26","-1","-100.0","0","0.08"
"windsor","349,787","2","0.57","0","0.00","2","..","1","0.15"
"gatineau","333,108","0","0.00","0","0.00","0","..","0","0.06"
"saskatoon","328,181","1","0.30","1","0.31","0","-2.0","2","0.79"
"regina","258,386","2","0.77","2","0.79","0","-2.0","2","0.83"
"barrie","228,602","0","0.00","0","0.00","0","..","0","0.00"
"kelowna","210,961","0","0.00","3","1.45","-3","-100.0","1","0.53"
"st. john's","208,289","0","0.00","0","0.00","0","..","0","0.10"
"sherbrooke","202,593","1","0.49","0","0.00","1","..","0","0.00"
"abbotsford-mission","195,726","4","2.04","6","3.11","-2","-34.2","2","1.34"
"kingston","171,043","0","0.00","0","0.00","0","..","0","0.00"
"saguenay","168,743","1","0.59","0","0.00","1","..","0","0.06"
"greater sudbury","168,141","0","0.00","0","0.00","0","..","0","0.00"
"moncton","161,122","0","0.00","0","0.00","0","..","0","0.00"
"trois-rivieres","157,208","0","0.00","0","0.00","0","..","0","0.07"
"brantford","148,603","0","0.00","1","0.68","-1","-100.0","0","0.07"
"guelph","140,683","0","0.00","0","0.00","0","..","0","0.08"
"saint john","129,790","0","0.00","0","0.00","0","..","0","0.14"
"peterborough","128,932","0","0.00","0","0.00","0","..","0","0.00"
"thunder bay","125,373","2","1.60","3","2.44","-1","-34.7","1","0.66"
"lethbridge","123,335","0","0.00","0","0.00","0","..","..",".."
"belleville","111,584","0","0.00","0","0.00","0","..","..",".."
"cma total","26,475,245","130","0.49","131","0.50","-1","-2.5","89","0.37"
"non-cma total","10,583,611","27","0.26","32","0.30","-5","-16.1","22","0.21"
"canada","37,058,856","157","0.42","163","0.45","-6","-5.0","111","0.32"
