"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"mansfield town","1995-96","third division","3","0","0","0","0","0","0","0","3","0"
"mansfield town","1996-97","third division","17","2","0","0","0","0","0","0","17","2"
"mansfield town","1997-98","third division","35","4","1","0","1","0","1","0","38","4"
"mansfield town","1998-99","third division","33","5","2","1","2","1","0","0","37","7"
"mansfield town","1999-2000","third division","39","7","1","0","0","0","2","0","42","7"
"mansfield town","2000-01","third division","32","6","0","0","4","1","0","0","36","7"
"mansfield town","total","total","159","24","4","1","7","2","3","0","173","27"
"hartlepool united","2001-02","third division","35","7","1","1","1","0","0","0","37","8"
"hartlepool united","2002-03","third division","45","7","1","0","1","0","0","0","47","7"
"hartlepool united","2003-04","second division","35","5","2","0","2","0","1","2","40","7"
"hartlepool united","2004-05","league one","0","0","0","0","0","0","0","0","0","0"
"hartlepool united","2005-06","league one","12","0","0","0","0","0","0","0","12","0"
"hartlepool united","2006-07","league two","0","0","-","-","0","0","none","none","none","none"
"hartlepool united","total","total","127","19","4","1","4","0","1","2","136","22"
"stockport county","2004-05","league one","1","0","-","-","1","0","none","none","none","none"
"port vale","2005-06","league one","1","0","-","-","1","0","none","none","none","none"
"rochdale","2006-07","league two","12","1","0","0","0","0","0","0","12","1"
"salisbury city","2007-08","conference premier","33","4","2","0","-","-","1","0","36","4"
"salisbury city","2008-09","conference premier","39","4","1","0","-","-","2","0","42","4"
"salisbury city","2009-10","conference premier","43","3","3","0","-","-","7","1","53","4"
"salisbury city","2010-11","southern league premier division","none","none","none","none","-","-","none","none","none","none"
"salisbury city","2011-12","conference south","19","1","4","0","-","-","1","0","24","1"
"salisbury city","2012-13","conference south","4","0","0","0","-","-","0","0","4","0"
"salisbury city","total","total","138","12","10","0","-","-","11","1","159","13"
"career total","career total","career total","438","56","18","2","11","2","15","3","482","63"
