"club","season","league","league","league","national cup","national cup","league cup","league cup","europe","europe","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lech poznan","2004-05","ekstraklasa","0","0","1","0","-","-","0","0","1","0"
"legia warsaw","2005-06","ekstraklasa","30","0","0","0","-","-","2","0","32","0"
"legia warsaw","2006-07","ekstraklasa","23","0","1","0","-","-","6","0","30","0"
"legia warsaw","total","total","53","0","1","0","-","-","8","0","62","0"
"arsenal","2007-08","premier league","3","0","0","0","5","0","0","0","8","0"
"arsenal","2008-09","premier league","6","0","6","0","3","0","3","0","18","0"
"arsenal","2009-10","premier league","4","0","2","0","2","0","2","0","10","0"
"arsenal","2010-11","premier league","14","0","0","0","1","0","5","0","20","0"
"arsenal","2011-12","premier league","0","0","2","0","3","0","1","0","6","0"
"arsenal","2012-13","premier league","4","0","0","0","0","0","1","0","5","0"
"arsenal","2013-14","premier league","1","0","6","0","2","0","2","0","11","0"
"arsenal","total","total","32","0","16","0","16","0","14","0","78","0"
"swansea city","2014-15","premier league","37","0","1","0","0","0","-","-","38","0"
"swansea city","2015-16","premier league","37","0","0","0","0","0","-","-","37","0"
"swansea city","2016-17","premier league","37","0","0","0","0","0","-","-","37","0"
"swansea city","2017-18","premier league","38","0","0","0","0","0","-","-","38","0"
"swansea city","total","total","149","0","1","0","0","0","-","-","150","0"
"west ham united","2018-19","premier league","36","0","0","0","0","0","-","-","36","0"
"career total","career total","career total","270","0","19","0","16","0","22","0","327","0"
