"","college diploma","college diploma"
"","%","$"
"female","",""
"field of study","100","43,415"
"business, management , marketing and related support services","37","43,645"
"health professions and related programs","25","46,047"
"family and consumer sciences/human sciences","6","36,266"
"male","",""
"field of study","100","59,304"
"engineering technologies and related fields","21","66,962"
"business, management, marketing and related support services","18","56,816"
"mechanic and repair technologies/technicians","11","60,505"
