"jurisdiction","custody","custody","percent change incarceration rate from 2012/2013 to 2013/2014","community supervision","community supervision","percent change in community supervision rate from 2012/2013 to 2013/2014","total correctional services","total correctional services","percent change in total rate from 2012/2013 to 2013/2014","percent change in total rate from 2009/2010 to 2013/2014"
"jurisdiction","number","rate","percent change incarceration rate from 2012/2013 to 2013/2014","number","rate","percent change in community supervision rate from 2012/2013 to 2013/2014","number","rate","percent change in total rate from 2012/2013 to 2013/2014","percent change in total rate from 2009/2010 to 2013/2014"
"newfoundland and labrador","286","66","3","1,736","400","-6","2,022","467","-5",".."
"prince edward island","118","101","5","884","757","3","1,002","858","3","16"
"nova scotia","524","68","7",".","..","..",".","..","..",".."
"new brunswick","419","68","-1",".","..","..",".","..","..",".."
"quebec","5,180","78","2","14,107","213","-1","19,287","291","-1","-7"
"ontario","8,253","76","-8","51,073","471","-7","59,326","547","-7","-17"
"manitoba","2,370","242","-4","7,816","800","1","10,187","1,042","0","15"
"saskatchewan","1,672","195","1","5,327","621","-2","6,999","816","-2","-4"
"british columbia","2,428","65","-4","13,036","348","-4","15,464","413","-4","-15"
"yukon","81","278","-21","355","1,213","10","436","1,491","2","5"
"northwest territories","245","755","5","411","1,265","-16","656","2,019","-10","-11"
"nunavut","128","563","6","934","4,115","-7","1,062","4,677","-5","-18"
"provinces and territories - total","21,704","87","-3","95,680","404","-5","116,442","492","-4","-12"
"federal","15,141","54","3","7,754","27","-13","22,895","81","-3","4"
