"","minimum wage workers","percentage distribution"
"","number","percent"
"student, aged 15 to 24","331,500","32.6"
"not a student, aged 15 to 24","257,200","25.3"
"unattached individual, lone parent or spouse/partner in a single-earner couple","27,000","2.7"
"spouse/partner in a dual-earner couple","16,800","1.6"
"son/daughter living with their parents","181,800","17.9"
"other","31,600","3.1"
"student, aged 25 to 34","19,600","1.9"
"not a student, aged 25 to 34","111,300","10.9"
"unattached individual, lone parent or spouse/partner in a single-earner couple","34,300","3.4"
"spouse/partner in a dual-earner couple","37,100","3.6"
"son/daughter living with their parents","20,100","2.0"
"other","19,800","1.9"
"aged 35 to 54","177,600","17.4"
"unattached individual, lone parent or spouse/partner in a single-earner couple","60,100","5.9"
"spouse/partner in a dual-earner couple","90,700","8.9"
"other","26,800","2.6"
"aged 55 to 64","84,100","8.3"
"unattached individual, lone parent or spouse/partner in a single-earner couple","35,600","3.5"
"spouse/partner in a dual-earner couple","33,700","3.3"
"other","14,700","1.4"
"aged 65 and over","36,800","3.6"
"total","1,018,100","100.0"
