"","all workers","all workers","homelessness support sector","homelessness support sector","social workers","social workers","social and community service workers","social and community service workers"
"","count","percentage","count","percentage","count","percentage","count","percentage"
"total - sex","","","","","","","",""
"total - 15 years of age and over","19,956,250","100.0","6,305","100.0","62,235","100.0","155,625","100.0"
"did not work in 2015","595,240","3.0","205","3.3","1,095","1.8","4,100","2.6"
"worked full-time in 2015","14,871,495","74.5","4,350","69.0","52,445","84.3","115,280","74.1"
"worked part-time in 2015","4,489,515","22.5","1,750","27.8","8,695","14.0","36,250","23.3"
"female","","","","","","","",""
"female - 15 years of age and over","9,613,285","100.0","4,825","100.0","52,845","100.0","120,800","100.0"
"did not work in 2015","312,135","3.2","165","3.4","930","1.8","3,280","2.7"
"worked full-time in 2015","6,484,870","67.5","3,230","66.9","44,365","84.0","88,855","73.6"
"worked part-time in 2015","2,816,275","29.3","1,430","29.6","7,550","14.3","28,665","23.7"
"male","","","","","","","",""
"male - 15 years of age and over","10,342,965","100.0","1,480","100.0","9,395","100.0","34,825","100.0"
"did not work in 2015","283,105","2.7","45","3.0","165","1.8","820","2.4"
"worked full-time in 2015","8,386,625","81.1","1,120","75.7","8,075","85.9","26,425","75.9"
"worked part-time in 2015","1,673,240","16.2","320","21.6","1,145","12.2","7,580","21.8"
