"club","division","season","league","league","cup","cup","continental","continental","total","total"
"club","division","season","apps","goals","apps","goals","apps","goals","apps","goals"
"malavan","pro league","2012-13","0","0","0","0","-","-","0","0"
"malavan","pro league","2013-14","1","0","0","0","-","-","1","0"
"malavan","pro league","2014-15","15","0","0","0","-","-","15","0"
"malavan","pro league","2015-16","20","0","1","0","-","-","21","0"
"malavan","total","total","36","0","1","0","0","0","37","0"
"persepolis","pro league","2016-17","20","0","1","0","10","0","31","0"
"persepolis","pro league","2017-18","23","0","2","0","7","0","32","0"
"persepolis","total","total","43","0","3","0","17","0","63","0"
"dinamo zagreb","prva hnl","2018-19","11","0","2","0","0","0","13","0"
"career total","career total","career total","90","0","6","0","17","0","113","0"
