"type of civil court case","number","distribution"
"type of civil court case","thousands","percent"
"total family cases","313.2","100.0"
"child protection cases","31.8","10.2"
"divorce cases","114.9","36.7"
"divorce cases with no issue(s) identified","76.0","24.3"
"divorce cases with issue(s) identified","38.9","12.4"
"other family cases","166.5","53.2"
"access and/or custody cases","24.8","7.9"
"access and/or custody and support cases","34.7","11.1"
"support cases","31.9","10.2"
"other case types","67.9","21.7"
"unknown case types","7.2","2.3"
