"","men","women"
"","percent","percent"
"canada","",""
"newfoundland-and-labrador","29.7","35.1"
"prince-edward-island","18.5","20.9"
"nova scotia","8.6","19.4"
"new brunswick","1.9","19.8"
"quebec","7.9","14.3"
"ontario","1.7","1.9"
"manitoba","9.8","21.9"
"saskatchewan","23.4","28.5"
"alberta","26.1","28.8"
"british columbia","-1.2","2.5"
"all provinces","4.2","9.3"
"united states","",""
"new england","-4.7","-4.3"
"middle atlantic","-8.2","-3.6"
"east north central","-9.7","-3.1"
"west north central","-7.2","1.5"
"south atlantic","-5.1","-1.7"
"south central","-1.7","3.6"
"mountain","-4.8","3.4"
"pacific","-6.4","-3.8"
"all regions","-5.5","1.1"
