"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"quilmes","2008-09","primera b nacional","4","1","0","0","-","-","0","0","4","1","none","none"
"quilmes","2009-10","primera b nacional","34","1","0","0","-","-","0","0","34","1","none","none"
"quilmes","2010-11","primera division","14","0","0","0","-","-","0","0","14","0","none","none"
"quilmes","2011-12","primera b nacional","33","3","0","0","-","-","0","0","33","3","none","none"
"quilmes","total","total","85","5","0","0","-","-","0","0","85","5","none","none"
"racing club","2012-13","primera division","30","0","2","0","-","-","2","0","0","0","34","0"
"racing club","2013-14","primera division","21","0","0","0","-","-","2","0","0","0","23","0"
"racing club","2014","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"racing club","2015","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"racing club","2016","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"racing club","total","total","51","0","2","0","-","-","4","0","0","0","57","0"
"newell's old boys","2014","primera division","10","0","0","0","-","-","0","0","0","0","10","0"
"newell's old boys","2015","primera division","1","0","0","0","-","-","0","0","1","0","none","none"
"newell's old boys","total","total","11","0","0","0","-","-","0","0","0","0","11","0"
"arsenal de sarandi","2015","primera division","4","0","0","0","-","-","1","0","0","0","5","0"
"arsenal de sarandi","2016","primera division","16","0","1","0","-","-","0","0","17","0","none","none"
"arsenal de sarandi","2016-17","primera division","27","1","2","1","-","-","2","1","0","0","31","3"
"arsenal de sarandi","2017-18","primera division","24","1","1","0","-","-","2","0","0","0","26","1"
"arsenal de sarandi","total","total","71","2","4","1","-","-","5","1","0","0","79","4"
"union santa fe","2018-19","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"career total","career total","career total","218","7","6","1","-","-","9","1","0","0","233","9"
