"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"libertad","2016","torneo federal a","1","0","0","0","-","-","0","0","1","0"
"libertad","2016-17","torneo federal a","9","4","0","0","-","-","0","0","9","4"
"libertad","total","total","10","4","0","0","-","-","0","0","10","4"
"atletico de rafaela","2016-17","primera division","0","0","0","0","-","-","0","0","0","0"
"atletico de rafaela","2017-18","primera b nacional","10","1","1","0","-","-","0","0","11","1"
"atletico de rafaela","total","total","10","1","1","0","-","-","0","0","11","1"
"libertad","2016-17","torneo federal a","9","4","0","0","-","-","0","0","9","4"
"sportivo belgrano","2018-19","torneo federal a","0","0","0","0","-","-","0","0","0","0"
"career total","career total","career total","29","9","1","0","-","-","0","0","30","9"
