"characteristics","english-french bilingualism rate in 2016","english-french bilingualism rate in 2016","english-french bilingualism rate in 2016","english-french bilingualism rate in 2016","english-french bilingualism rate in 2016"
"characteristics","canada","canada outside quebec","quebec","canada outside quebec","quebec"
"characteristics","percent","percent","percent","predicted probability","predicted probability"
"total","26.9","14.6","66.1","..",".."
"english-french bilingualism in 2006","","","","",""
"no","16.8","6.8","55.3","0.09","0.60"
"yes","76.6","65.4","93.5","0.53","0.88"
"mother tongue","","","","",""
"english","14.5","12.0","86.9","0.13","0.61"
"french","64.6","92.9","61.4","0.59","0.66"
"english and french","84.7","77.3","94.1","0.24","0.70"
"other language","25.2","12.6","86.0","0.15","0.72"
"parents bilingual in english and french in 2006","","","","",""
"neither parent","14.3","9.2","48.4","0.13","0.60"
"one parent","53.3","37.8","70.8","0.19","0.69"
"both parents","83.5","75.1","87.0","0.24","0.77"
"age group in 2006","","","","",""
"5 to 7 years","27.6","18.7","58.4","0.22","0.61"
"8 to 10 years","27.3","15.7","66.5","0.16","0.68"
"11 to 13 years","26.6","13.2","67.4","0.12","0.68"
"14 to 17 years","26.2","11.7","69.9","0.10","0.67"
"sex","","","","",""
"female","29.2","17.5","66.8","0.17","0.66"
"male","24.6","11.8","65.5","0.13","0.66"
"generational status","","","","",""
"first generation","26.0","13.6","84.6","0.15","0.75"
"second generation","24.4","14.3","85.7","0.15","0.75"
"third generation","27.8","14.9","61.5","0.14","0.65"
"highest level of education of parents in 2006","","","","",""
"no high school diploma","16.2","5.9","45.4","0.09","0.56"
"high school diploma","19.1","9.1","59.7","0.12","0.63"
"postsecondary diploma","25.1","12.6","60.5","0.13","0.64"
"bachelor's degree","33.6","20.0","81.3","0.17","0.75"
"graduate degree","40.3","26.4","89.1","0.19","0.78"
"economic family income quintile in 2006","","","","",""
"bottom quintile","21.5","10.8","57.4","0.14","0.61"
"second quintile","24.5","11.9","57.8","0.14","0.63"
"third quintile","26.8","13.6","63.2","0.14","0.65"
"fourth quintile","28.5","15.8","70.8","0.15","0.69"
"top quintile","31.5","19.3","83.8","0.15","0.74"
"presence of the minority language group in the census subdivision in 2006, by quintile","","","","",""
"bottom quintile","17.2","8.0","46.6","0.13","0.61"
"second quintile","21.0","9.8","58.6","0.13","0.64"
"third quintile","23.6","11.8","62.6","0.14","0.65"
"fourth quintile","35.4","11.5","81.1","0.14","0.73"
"top quintile","39.0","32.0","84.7","0.19","0.73"
"living with parents in 2016","","","","",""
"no","27.8","13.1","66.1","0.15","0.68"
"yes","26.5","15.1","66.2","0.15","0.65"
