"characteristic","%","95% confidence interval","95% confidence interval","odds ratio","95% confidence interval","95% confidence interval"
"characteristic","%","from","to","odds ratio","from","to"
"sex","","","","","",""
"female","46.9","45.3","48.5","1.00","..",".."
"male","49.4","47.7","51.0","1.12","1.03","1.23"
"age group","","","","","",""
"12 to 17","54.5","50.7","58.3","2.14","1.70","2.71"
"18 to 34","63.4","61","65.7","3.05","2.60","3.58"
"35 to 44","58.7","55.4","62.0","2.46","2.01","3.01"
"45 or older","35.8","34.2","37.3","1.00","..",".."
"education","","","","","",""
"secondary diploma or equivalent or less","39.1","37.4","40.7","1.00","..",".."
"some postsecondary education","50.2","48.2","52.1","1.50","1.32","1.71"
"university certificate, diploma or degree","58.6","56.2","61.0","2.11","1.84","2.42"
"not applicable / don't know / refusal / not stated","39.2","30.9","47.6","..","..",".."
"worked at job","","","","","",""
"yes","57.3","55.7","58.8","2.62","2.34","2.94"
"no","33.8","31.7","35.9","1.00","..",".."
"not applicable / don't know / refusal / not stated","20.4","18.2","22.5","..","..",".."
"employment status","","","","","",""
"employee","58.7","57","60.5","1.23","1.04","1.45"
"self-employed / family business no pay","53.4","49.5","57.3","1.00","..",".."
"not applicable / don't know / refusal / not stated","33.6","32.1","35.2","..","..",".."
"household income","","","","","",""
"$39,999 or less","31.4","29.5","33.3","..","..",".."
"$40,000 to $69,999","45.1","42.8","47.4","..","..",".."
"$70,000 to $99,999","51.6","48.8","54.4","..","..",".."
"$100,000 to $149,999","58.3","55.4","61.2","..","..",".."
"$150,000 or more","62.9","59.8","66.0","..","..",".."
"not applicable / don't know / refusal / not stated","62.5","41.2","83.8","","",""
"region","","","","","",""
"western provinces","55","52.9","57.1","1.24","1.05","1.46"
"quebec","36.7","34.3","39.1","0.59","0.49","0.71"
"atlantic provinces","47.4","45.1","49.7","0.93","0.78","1.10"
"ontario","49.5","47.4","51.6","1.00","..",".."
