"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"celtic","2003-04","scottish premier league","0","0","0","0","0","0","0","0","-","-","0","0"
"celtic","2004-05","scottish premier league","0","0","0","0","0","0","0","0","-","-","0","0"
"celtic","2005-06","scottish premier league","0","0","0","0","0","0","0","0","-","-","0","0"
"celtic","2006-07","scottish premier league","0","0","0","0","0","0","0","0","-","-","0","0"
"celtic","2007-08","scottish premier league","0","0","0","0","0","0","0","0","-","-","0","0"
"celtic","total","total","0","0","0","0","0","0","0","0","-","-","0","0"
"stranraer","2004-05","scottish second division","19","0","0","0","0","0","-","-","0","0","19","0"
"st johnstone","2006-07","scottish first division","1","0","0","0","0","0","-","-","0","0","1","0"
"dundee united","2008-09","scottish premier league","0","0","0","0","0","0","-","-","0","0","none","none"
"ross county","2009-10","scottish first division","35","0","7","0","3","0","-","-","4","0","49","0"
"ross county","2010-11","scottish first division","36","0","3","0","3","0","-","-","5","0","47","0"
"ross county","total","total","71","0","10","0","6","0","-","-","9","0","96","0"
"falkirk","2011-12","scottish first division","35","0","2","0","5","0","-","-","5","0","47","0"
"falkirk","2012-13","scottish first division","35","0","4","0","2","0","-","-","2","0","43","0"
"falkirk","2013-14","scottish championship","35","0","1","0","3","0","-","-","6","0","45","0"
"falkirk","total","total","105","0","7","0","10","0","-","-","13","0","135","0"
"hamilton academical","2014-15","scottish premiership","38","0","1","0","4","0","-","-","43","0","none","none"
"hamilton academical","2015-16","scottish premiership","37","0","1","0","1","0","-","-","39","0","none","none"
"hamilton academical","total","total","75","0","2","0","5","0","-","-","82","0","none","none"
"norwich city","2016-17","championship","20","0","2","0","0","0","-","-","22","0","none","none"
"norwich city","2017-18","championship","0","0","0","0","1","0","-","-","1","0","none","none"
"norwich city","2018-19","championship","0","0","1","0","4","0","-","-","5","0","none","none"
"norwich city","total","total","20","0","3","0","5","0","-","-","28","0","none","none"
"career total","career total","career total","291","0","22","0","26","0","0","0","22","0","361","0"
