"characteristics","total violent victimization","total violent victimization","total household victimization","total household victimization","theft of personal property","theft of personal property"
"characteristics","number","rate","number","rate","number","rate"
"living arrangement of household","","","","","",""
"alone","220","62","406","114","177","49"
"couple","356","42","442","107","429","51"
"couple with children","1,096","83","824","178","1,143","86"
"lone-parent family","389","143","238","186","297","109"
"other living arrangement","184","126","120","194","109","75"
"household size","","","","","",""
"1 or 2 people","815","60","988","115","728","54"
"3 or 4 people","1,059","89","798","181","1,027","87"
"5 people or more","370","90","243","206","399","97"
"dwelling type","","","","","",""
"single detached","1,484","75","1,275","146","1,527","77"
"semi-detached, row house, duplex","318","72","344","160","382","87"
"apartment or condo in a building","390","84","366","123","215","46"
"other","f","f","40","134","25","50"
"dwelling ownership","","","","","",""
"owned","1,597","69","1,417","135","1,713","74"
"rented","645","103","604","165","429","69"
"living in the dwelling","","","","","",""
"less than 1 year","260","109","221","185","203","85"
"1 year to less than 5 years","681","91","647","168","565","76"
"5 years to less than 10 years","406","69","392","139","506","86"
"10 years or more","898","66","764","121","876","64"
"sense of belonging to local community","","","","","",""
"very strong","372","50","379","104","384","51"
"somewhat strong","982","68","941","137","1,079","74"
"somewhat weak","557","116","438","189","441","92"
"very weak","266","165","217","259","205","127"
"people in neighbourhood help each other","","","","","",""
"yes","1,694","69","1,540","131","1,718","70"
"no","471","136","415","237","349","101"
"likelihood that neighbours call the police if witness what seems like criminal behaviour","","","","","",""
"very likely","1,260","66","1,170","127","1,267","66"
"somewhat likely","689","89","602","163","682","88"
"somewhat unlikely or not at all likely","260","153","223","262","184","108"
"social disorder in the neighbourhood","","","","","",""
"no","533","40","446","70","482","36"
"yes","1,694","109","1,565","209","1,654","107"
"household income","","","","","",""
"less than $20 000","90","79","136","142","49","43"
"$20 000 to $59 999","291","60","346","111","218","45"
"$60 000 to $99 999","288","56","297","113","321","63"
"$100 000 to $139 999","225","59","241","140","283","75"
"$140 000 to $179 999","118","54","134","145","183","84"
"$180 000 or more","168","69","142","143","206","84"
