"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"sunderland","2004-05","championship","3","0","0","0","0","0","0","0","3","0"
"sunderland","2005-06","premier league","5","0","0","0","2","0","0","0","7","0"
"sunderland","2006-07","championship","11","0","0","0","1","0","0","0","12","0"
"sunderland","total","total","19","0","0","0","3","0","0","0","22","0"
"tottenham hotspur","2007-08","premier league","0","0","0","0","0","0","0","0","0","0"
"tottenham hotspur","2008-09","premier league","0","0","1","0","1","0","0","0","2","0"
"tottenham hotspur","2009-10","premier league","1","0","0","0","0","0","0","0","1","0"
"tottenham hotspur","2010-11","premier league","0","0","0","0","0","0","0","0","0","0"
"tottenham hotspur","2011-12","premier league","0","0","0","0","0","0","0","0","0","0"
"tottenham hotspur","total","total","1","0","1","0","1","0","0","0","3","0"
"luton town","2007-08","league one","4","0","0","0","0","0","0","0","4","0"
"leicester city","2007-08","championship","8","0","0","0","0","0","0","0","8","0"
"carlisle united","2008-09","league one","6","0","0","0","0","0","0","0","6","0"
"norwich city","2009-10","league one","3","0","0","0","2","0","1","0","6","0"
"leyton orient","2011-12","league one","6","0","2","0","0","0","0","0","8","0"
"barnsley","2012-13","championship","10","0","0","0","2","0","0","0","12","0"
"charlton athletic","2013-14","championship","10","0","2","0","0","0","0","0","12","0"
"leyton orient","2013-14","league one","1","0","0","0","0","0","0","0","1","0"
"peterborough united","2014-15","league one","41","0","2","0","1","0","1","0","45","0"
"peterborough united","2015-16","league one","39","0","5","0","2","0","1","0","47","0"
"peterborough united","2016-17","league one","4","0","0","0","1","0","0","0","5","0"
"peterborough united","total","total","84","0","7","0","4","0","2","0","97","0"
"bolton wanderers","2016-17","league one","21","0","3","0","0","0","2","0","26","0"
"bolton wanderers","2017-18","championship","39","0","0","0","2","0","0","0","41","0"
"bolton wanderers","total","total","60","0","3","0","2","0","2","0","67","0"
"career total","career total","career total","212","0","15","0","14","0","5","0","246","0"
