"characteristic","total","employed, by occupation","employed, by occupation","employed, by occupation","employed, by occupation","unemployeda","not in labor forceb"
"characteristic","total","total","s&e","s&e-related","non-s&e","unemployeda","not in labor forceb"
"all college graduates","61220000","48223000","6769000","8271000","33183000","1513000","11483000"
"men","28501000","23323000","4803000","3507000","15013000","889000","4554000"
"women","32719000","24900000","1966000","4764000","18170000","624000","6929000"
"highest degree of educational attainment","","","","","","",""
"bachelor's","38866000","30131000","3846000","4338000","21946000","1088000","7647000"
"master's","16756000","13260000","2069000","2262000","8929000","348000","3149000"
"doctorate","2172000","1796000","786000","267000","743000","40000","336000"
"professional","3426000","3036000","67000","1404000","1565000","38000","352000"
"field of highest degree","","","","","","",""
"s&e","18339000","14501000","5085000","1997000","7418000","509000","3330000"
"biological, agricultural, and environmental life sciences","2982000","2290000","633000","635000","1022000","71000","622000"
"computer and mathematical sciences","3087000","2567000","1437000","307000","823000","82000","439000"
"physical and related sciences","1024000","814000","366000","159000","289000","19000","191000"
"social and related sciences","7021000","5336000","679000","366000","4291000","211000","1474000"
"engineering","4225000","3494000","1970000","531000","993000","126000","605000"
"s&e-related fields","8383000","6870000","382000","4796000","1693000","168000","1345000"
"non-s&e fields","34497000","26852000","1301000","1479000","24072000","836000","6809000"
"u.s. military service","","","","","","",""
"never served in the u.s. military","56485000","45123000","6351000","7701000","31071000","1406000","9956000"
"served only on active duty for training in the reserves or national guard","820000","498000","42000","105000","352000","19000","302000"
"serving now on active dutyc","241000","234000","18000","40000","177000","d","s"
"served on active duty in the past, but not now","3674000","2367000","358000","426000","1583000","85000","1221000"
