"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"palermo","2001-02","serie b","29","2","0","0","-","-","29","2","none","none"
"palermo","2002-03","serie b","0","0","2","0","-","-","2","0","none","none"
"ascoli","2002-03","serie b","30","7","1","0","-","-","31","7","none","none"
"palermo","2003-04","serie b","18","1","2","0","-","-","20","1","none","none"
"perugia","2003-04","serie a","12","2","0","0","-","2","0","14","2","none"
"palermo","2004-05","serie a","33","10","4","1","-","-","37","11","none","none"
"palermo","2005-06","serie a","27","1","3","1","9","3","-","39","4","none"
"palermo","2006-07","serie a","22","0","2","1","4","1","-","28","2","none"
"palermo","2007-08","serie a","8","1","0","0","1","0","-","9","1","none"
"reggina","2007-08","serie a","20","7","0","0","-","-","20","7","none","none"
"reggina","2008-09","serie a","32","5","1","2","-","-","33","7","none","none"
"reggina","2009-10","serie b","29","11","2","2","-","-","31","13","none","none"
"reggina","total","total","81","23","3","4","0","0","0","0","84","27"
"siena","2010-11","serie b","29","7","1","0","-","-","30","7","none","none"
"siena","2011-12","serie a","36","4","3","0","-","-","39","4","none","none"
"siena","total","total","65","11","4","0","0","0","0","0","69","11"
"palermo","2012-13","serie a","17","1","2","0","-","-","19","1","none","none"
"palermo","total","total","154","16","15","3","14","4","0","0","183","23"
"atalanta","2012-13","serie a","6","0","0","0","-","-","6","0","none","none"
"atalanta","2013-14","serie a","18","1","0","0","-","-","18","1","none","none"
"atalanta","total","total","24","1","0","0","0","0","0","0","24","1"
"cesena","2014-15","serie a","30","8","1","0","-","-","31","8","none","none"
"bologna","2015-16","serie a","29","3","1","0","-","-","30","3","none","none"
"bologna","2016-17","serie a","0","0","1","0","-","-","1","0","none","none"
"bologna","total","total","29","3","2","0","0","0","0","0","31","3"
"bari","2016-17","serie b","27","5","1","0","-","-","28","5","none","none"
"bari","2017-18","serie b","24","3","3","0","-","-","27","3","none","none"
"bari","total","total","51","8","4","0","0","0","0","0","55","8"
"career total","career total","career total","476","79","30","7","14","4","2","0","522","90"
