"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"independiente","2012-13","primera division","1","0","1","0","-","-","0","0","0","0","2","0"
"independiente","2013-14","primera b nacional","1","0","0","0","-","-","0","0","1","0","none","none"
"independiente","2014","primera division","12","1","1","0","-","-","0","0","13","1","none","none"
"independiente","2015","primera division","1","0","0","0","-","-","1","0","0","0","2","0"
"independiente","2016","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"independiente","2016-17","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"independiente","2017-18","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"independiente","total","total","15","1","2","0","-","-","1","0","0","0","18","1"
"temperley","2016","primera division","3","0","1","0","-","-","0","0","4","0","none","none"
"temperley","2016-17","primera division","25","2","1","0","-","-","0","0","26","2","none","none"
"temperley","2017-18","primera division","0","0","1","0","-","-","0","0","1","0","none","none"
"temperley","total","total","28","2","3","0","-","-","0","0","31","2","none","none"
"fk liepaja","2018","higher league","3","0","0","0","-","-","0","0","0","0","3","0"
"career total","career total","career total","46","3","5","0","-","-","1","0","0","0","52","3"
