"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ordabasy","1999","kazakhstan premier league","3","0","","","-","-","3","0","none","none"
"ordabasy","2000","kazakhstan premier league","2","0","","","-","-","2","0","none","none"
"ordabasy","2001","kazakhstan premier league","17","0","","","-","-","17","0","none","none"
"ordabasy","total","total","22","0","","","","","","","22","0"
"zhenis astana","2002","kazakhstan premier league","1","0","","","-","-","1","0","none","none"
"zhenis astana","2003","kazakhstan premier league","4","0","","","-","-","4","0","none","none"
"zhenis astana","2004","kazakhstan premier league","9","0","1","0","-","-","10","0","none","none"
"zhenis astana","2005","kazakhstan premier league","4","0","1","0","-","-","5","0","none","none"
"astana","2006","kazakhstan premier league","7","0","5","0","-","-","12","0","none","none"
"astana","2007","kazakhstan premier league","0","0","0","0","-","-","0","0","none","none"
"astana","2008","kazakhstan premier league","5","0","2","0","-","-","7","0","none","none"
"astana","total","total","30","0","9","0","","","","","59","0"
"okzhetpes","2004","kazakhstan premier league","12","0","1","0","-","-","13","0","none","none"
"ordabasy","2007","kazakhstan premier league","28","0","6","0","-","-","34","0","none","none"
"alma-ata","2008","kazakhstan premier league","11","0","2","0","-","-","13","0","none","none"
"ordabasy","2009","kazakhstan premier league","26","0","2","0","","","28","0","none","none"
"ordabasy","2010","kazakhstan premier league","29","0","4","0","","","33","0","none","none"
"ordabasy","total","total","55","0","6","0","","","","","61","0"
"shakhter karagandy","2011","kazakhstan premier league","31","0","0","0","4","0","","","35","0"
"shakhter karagandy","2012","kazakhstan premier league","25","0","4","0","2","0","1","0","32","0"
"shakhter karagandy","2013","kazakhstan premier league","18","0","0","0","10","0","1","0","29","0"
"shakhter karagandy","2014","kazakhstan premier league","26","0","3","0","6","0","1","0","36","0"
"shakhter karagandy","2015","kazakhstan premier league","12","0","0","0","","","12","0","none","none"
"shakhter karagandy","total","total","102","0","7","0","22","0","3","0","134","0"
"astana","2016","kazakhstan premier league","2","0","5","0","1","0","0","0","8","0"
"astana","2017","kazakhstan premier league","24","0","0","0","5","0","0","0","29","0"
"astana","2018","kazakhstan premier league","13","0","0","0","2","0","0","0","15","0"
"astana","total","total","39","0","5","0","8","0","0","0","52","0"
"irtysh pavlodar","2019","kazakhstan premier league","0","0","0","0","-","-","0","0","none","none"
"astana","2019","kazakhstan premier league","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","247","0","27","0","30","0","3","0","307","0"
