"team","year","regular season","regular season","regular season","regular season","regular season","postseason","postseason","postseason","postseason"
"team","year","won","lost","ties","win %","finish","won","lost","win %","result"
"cle","1991","6","10","0",".375","3rd in afc central","-","-","-","-"
"cle","1992","7","9","0",".438","3rd in afc central","-","-","-","-"
"cle","1993","7","9","0",".438","3rd in afc central","-","-","-","-"
"cle","1994","11","5","0",".688","2nd in afc central","1","1",".500","lost to pittsburgh steelers in afc divisional game"
"cle","1995","5","11","0",".313","4th in afc central","-","-","-","-"
"cle total","cle total","36","44","0",".450","none","1","1",".500","none"
"ne","2000","5","11","0",".313","5th in afc east","-","-","-","-"
"ne","2001","11","5","0",".688","1st in afc east","3","0","1.000","super bowl xxxvi champions"
"ne","2002","9","7","0",".563","2nd in afc east","-","-","-","-"
"ne","2003","14","2","0",".875","1st in afc east","3","0","1.000","super bowl xxxviii champions"
"ne","2004","14","2","0",".875","1st in afc east","3","0","1.000","super bowl xxxix champions"
"ne","2005","10","6","0",".625","1st in afc east","1","1",".500","lost to denver broncos in afc divisional game"
"ne","2006","12","4","0",".750","1st in afc east","2","1",".667","lost to indianapolis colts in afc championship game"
"ne","2007","16","0","0","1.000","1st in afc east","2","1",".667","lost to new york giants in super bowl xlii"
"ne","2008","11","5","0",".688","2nd in afc east","-","-","-","-"
"ne","2009","10","6","0",".625","1st in afc east","0","1",".000","lost to baltimore ravens in afc wild card game"
"ne","2010","14","2","0",".875","1st in afc east","0","1",".000","lost to new york jets in afc divisional game"
"ne","2011","13","3","0",".813","1st in afc east","2","1",".667","lost to new york giants in super bowl xlvi"
"ne","2012","12","4","0",".750","1st in afc east","1","1",".500","lost to baltimore ravens in afc championship game"
"ne","2013","12","4","0",".750","1st in afc east","1","1",".500","lost to denver broncos in afc championship game"
"ne","2014","12","4","0",".750","1st in afc east","3","0","1.000","super bowl xlix champions"
"ne","2015","12","4","0",".750","1st in afc east","1","1",".500","lost to denver broncos in afc championship game"
"ne","2016","14","2","0",".875","1st in afc east","3","0","1.000","super bowl li champions"
"ne","2017","13","3","0",".813","1st in afc east","2","1",".667","lost to philadelphia eagles in super bowl lii"
"ne","2018","11","5","0",".688","1st in afc east","3","0","1.000","super bowl liii champions"
"ne total","ne total","225","79","0",".740","none","30","10",".750","none"
"total","total","261","123","0",".680","none","31","11",".738","none"
